School Name,Address,Pincode,website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
Don Bosco School,"109, Abhay Guha Rd, Liluah, Howrah, West Bengal 711204",711204,http://donboscoliluah.org/,West Bengal,ICSE School,,Fr. K. V. Mathew,,,,,2.5 crore,,033 2655 1075,smtmilan@gmail.com,nayana.msc@gmail.com,office@donboscoliluah.org,rector@donboscoliluah.org,principal@donboscoliluah.org,dbltech@vsnl.com,dbltech44@gmail.com,parish@donboscoliluah.org,"7233809120, 8756995171, 8756995172, 8756995174, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Welland Gouldsmith School,"Eastern Metropolitan Bypass Link Rd, Baishnabghata Patuli Township, South End Garden, Baishnabghata Patuli Twp, Patuli, Kolkata, West Bengal 700094",700094,http://www.wgskolkata.com/,West Bengal,ICSE School,,Dr. (ms) G.R Hart,,,,,3 crore,,033 2436 3419,vijay.phd@gmail.com,jayashree.phd@gmail.com,welland.gouldsmith.sch.kolkata@gmail.com,welland.gouldsmith.sch.patuli@gmail.com,wellland.gouldsmith.sch.kolkata@gmail.com,,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Loreto Convent School,"G. T. Road, West Asansol, Bardhaman, opposite Loco Tank, Asansol, West Bengal 713301",713301,http://www.loretoasansol.in/,West Bengal,ICSE School,,Mrs J S George,,,,,3 crore,,0341 228 1099,monica5@rediff.com,smita.phd@gmail.com,mail@loretodelhi.com,loretodelhi@gmail.com,,8009881030,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Central Modern School,"4/1, Ghola Kachary Rd, Barasat, Kolkata, West Bengal 700124",700124,http://tumet.org/,West Bengal,ICSE School,,Tara Garg,,,,,3 crore,,,sharma18@gmail.com,vaishali2@gmail.com,classrevision@centralmodernschool.in,7@gmail.com,,9830588536,8100265454,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Future Foundation School,"3, Regent Park, Kolkata, West Bengal 700040",700040,http://tffs.sriaurobindoinstitute.org/,West Bengal,ICSE School,,Ranjan Mitter,,,,,3 crore,,083360 69408,shinysr@gmail.com,mausamvora@gmail.com,,,,91-8336069406,91-8336069408,8697132140,"7233809120, 8756995171, 8756995172, 8756995174, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"St. Xavier's School, Burdwan","St Xaviers School Road, Bara Nilpur, Kanainatshal P, West Bengal 713103",713103,http://www.sxs-bwn.org/,West Bengal,ICSE School,,Father Maria Joseph,,,,,4 crore,,0342 264 4882,padma.phd@gmail.com,momin.phd@gmail.com,sxsbwn@gmail.com,,,8250961832,7318761888,+91-8250961832,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
ST.XAVIER’S School,"Telghani, P.O. Karnajora, Raiganj, District. Uttar Dinajpur, Pin, West Bengal 733130",733130,http://stxaviersraiganj.com/,West Bengal,ICSE School,,David Raj,,,,,,,03523 250 711,bhakuni8@hotmail.com,ashoknirala@gmail.com,stxavier@del2.vsnl.net.in,contact@stxaviersdelhi.com,,9451035047,8738023778,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Rockvale Academy,"9 Mile Rishi Road, Opposite Kalimpong Fire Station, P.O. Kalimpong, District Darjeeling, Kalimpong, West Bengal 734301",734301,http://www.rockvaleacademy.com/,West Bengal,ICSE School,,Capt. Prakash Mani Pradhan,,,,,,,03552 255 556,er.chakraborty@gmail.com,dr.kapil@gmail.com,principal@rockvaleacademy.com,principal@rockvalcacademy.com,rmckpg@gmail,9434045295,9064840883,9832047338,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Don Bosco School,"Monigram, West Bengal",,http://www.donboscomonigram.org/,West Bengal,ICSE School,,Rev. Fr Eyakub ekka,,,,,,,099339 88094,smt.msc@rediff.com,vijayogale@gmail.com,principal@donboscoschool.in,inndbph@del2.vsnl.net.in,dbemsmon@yahoo.co.in,8389980309,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Institute of Engineering & Management,"Salt Lake Electronics Complex, Y-12, Gurukul, Street Number 18, EP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",700091,http://www.iemcal.com/,West Bengal,ICSE School,,Dr. A K Nayak,,,,,,,033 2357 2969,gupta1968@gmail.com,msc.milind@gmail.com,admissions@iemcal.com,,,9432011486,9433428843,7384875460,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Thomas' College of Engineering and Technology,"4, Diamond Harbour Rd, Alipore Body Guard Lines, Alipore, Kolkata, West Bengal 700023",700023,http://www.stcet.org/,West Bengal,ICSE School,,Charles Joseph Nyss,,,,,,,033 2448 1081,manoharan.msc@hotmail.com,bragancamachado@gmail.com,stcet@stcet.ac.in,admission.stcet@gmail.com,info@stcet.ac.in,9447400216,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Calcutta International School,"724, Eastern Metropolitan Bypass, near Fortis Hospital, Anandapur, VIP Nagar, Kolkata, West Bengal 700107",700107,http://www.calcuttais.edu.in/,West Bengal,IB school,,"Munmun Nath, Pratima Nayar",,,,,,,070444 99660,thomas2@gmail.com,ramprasad.msc@gmail.com,c...@calcuttais.edu.in,contact@calcuttais.edu,admission@calcuttais.edu.in,917044499660,919836652141,917044499661,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Modern High School for Girls,"78, Syed Amir Ali Ave, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",700019,http://www.mhsforgirls.edu.in/,West Bengal,IB school,,Damayanti Mukherjee,,,,,,,033 2287 5326,broramesh@gmail.com,rangappa.phd@gmail.com,dkar@mhsforgirls.edu.in,principal@mhsforgirls.edu.in,viceprincipal@mhsforgirls.edu.in,9133228753,9133228760,9133228168,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Calcutta Boys' School,"72, SN Banerjee Road, Maula Ali, Taltala, Kolkata, West Bengal 700014",700014,http://www.calcuttaboysschool.edu.in/,West Bengal,IB school,,Arup Rong,1877,,,,,,033 2265 1531,miranda.phd@gmail.com,abajim@gmail.com,cbsbel@calcuttaboysschools.org,calcuttaboysschool@gmail.com,calcuttaboysschoolasansol@gmail.com,9133226515,9133226503,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mahadevi Birla World Academy,"17A, Darga Rd, Beniapukur, Kolkata, West Bengal 700017",700017,http://www.mbwa.org.in/,West Bengal,IB school,,Mrs.Anjana Saha,,,,,,,033 2287 3613,er.revathy@rediff.com,abdulazeem@gmail.com,info@mbwa.org.in,principal@mbwa.org.in,,9133228736,,,"9704508855, 7032900570, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Welland Gouldsmith School,"Eastern Metropolitan Bypass Link Rd, Baishnabghata Patuli Township, South End Garden, Baishnabghata Patuli Twp, Patuli, Kolkata, West Bengal 700094",700094,http://www.wgskolkata.com/,West Bengal,IB school,,Dr. (ms) G.R Hart,,,,,,,033 2436 3419,sujatha1980@hotmail.com,aziz.phd@gmail.com,welland.gouldsmith.sch.kolkata@gmail.com,welland.gouldsmith.sch.patuli@gmail.com,wellland.gouldsmith.sch.kolkata@gmail.com,,,,"8815105683, 8815105682, 8815105681, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Birla High School,"1, Moira St, Elgin, Kolkata, West Bengal 700017",700017,http://www.birlahighschool.com/,West Bengal,IB school,,Ms. Lovleen Saigal,,,,,,,033 2287 6420,er.aggarwal@gmail.com,baisabdul@gmail.com,principal@birlahighschool.com,--bhsjr@birlahighschool.com,bhsjrkol@gmail.com,9903606575,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Loreto Convent,"Lebong Cart Rd, Chauk Bazaar, Darjeeling, West Bengal 734101",734101,http://www.loretodarjeeling.org/,West Bengal,IB school,,Sr. Gorreti,,,,,,,0354 225 2059,s1982@gmail.com,abdul12@gmail.com,loretodelhi@gmail.com,mail@loretodelhi.com,,8009881030,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Techno International New Town (Formerly known as Techno India College of Technology),"1/1, Service Rd, DG Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700156",700156,http://tict.edu.in/,West Bengal,International School,,Prateep Roy,,,,,,,033 2324 2050,mrsbhavani@gmail.com,arvind.phd@gmail.com,admission.desk@tict.edu.in,,,9674112076,8002588154,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Loreto Convent School,"G. T. Road, West Asansol, Bardhaman, opposite Loco Tank, Asansol, West Bengal 713301",713301,http://www.loretoasansol.in/,West Bengal,International School,,Mrs J S George,,,,,,,0341 228 1099,samy.bsc@yahoo.com,jagannath.msc@gmail.com,mail@loretodelhi.com,loretodelhi@gmail.com,,8009881030,,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Pathfinder Higher Secondary Public School,"Baharampur, Gora Bazar, West Bengal 742101",742101,http://phsps.edu.in/,West Bengal,Specially abled,,,,,,,9 lakh,,087870 70193,,,jodhpurpark@pathfinder.edu.in,phsps.durgapur@pathfinder.edu.in,berhampur@phsps.edu.in,8336921342,8820839723,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
MENTAID Special School,"17, Brojen Mukherjee Rd, Chamrapatti, Behala, Kolkata, West Bengal 700034",700034,https://www.mentaid.org/,West Bengal,Specially Abled,,,,,,,8 lakh,,033 3260 7926,,,mentaid@vsnl.net,mentaid.org@gmail.com,admin@mentaid.org,arunodaya1998@gmail.com,schooldept.2010@gmail.com,,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Don Bosco School,"Avinash, Abinash Chandra Mukherjee Rd, Sahaganj, Bandel, West Bengal 712103",712103,http://dbbandel.org/,West Bengal,Schools,,,,,,,,,033 2631 2437,,,inndbph@del2.vsnl.net.in,principal@donboscoschool.in,info@donboscoschool.in,8389980309,dbemsmon@gmail.com,principal@donboscoschool,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SKS Public School,"Ronai Road, Mangalpur, Raniganj, West Bengal 713347",713347,http://www.sksps.com/,West Bengal,Schools,,,,,,,,,099331 81391,,,contact@sksps.com,saradavidyamandir@gmail.com,skspsm@rediffmail.com,+91-9933181391,7063136889,+91-7063136889,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Kamarbari Road, Behind TCS Eco Space, New Town, Rajarhat, 24 Parganas, North Kolkata, Kolkata, West Bengal 700135",700135,http://www.narayanaschools.in/,West Bengal,Schools,,,,,,,,,090516 89589,,,mgroad@narayanagroup.com,agm.gur@narayanagroup.com,rajnagar@narayanagroup.com,+91-8744054800,8373915146,9999999999,"9599385666, 9599385667, athan@yahoo.com, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vivekananda Mission School,"13, Vivek Ville Opposite IIM Pailan, P.O, Joka, Kolkata, West Bengal 700104",700104,http://vms.edu.in/,West Bengal,Schools,,,,,,,,,033 2970 1949,,,mecvmhs@gmail.com,info@vmhschool.com,admin@vms.edu.in,7596949952,info@vivekanandmissionschool.org,bileyvihar@gmail.com,"mpsshaberi@gmail.com, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Hindu School,"1-B, Bankim Chatterjee St, College Square West, College Square, Kolkata, West Bengal 700073",700073,http://www.hindu-school.com/,West Bengal,Schools,,,,,,,,,03003 030 266,,,principal@hinducollege.org,hinducol@del3.vsnl.net.in,hpsrohtak@gmail.com,9817440348,theo1852@gmail.com,info@hindu-school.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
South Point High School,"82/7A, Ballygunge Pl, Ballygunge Place, Ballygunge, Kolkata, West Bengal 700019",700019,http://www.southpoint.edu.in/,West Bengal,Schools,,,,,,,,,033 2440 5042,,,jsolomon@southpoint.org.in,accounts.sps@southpoint.edu.in,office.sps@southpoint.edu.in,bookshop@southpoint.edu.in,xxxx@southpoint.edu.in,sphs@southpoint.org.in,"9454148084, 9125568036, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Heritage School,"994, Chowbaga Rd, Anandapur, East Kolkata Twp, Kolkata, West Bengal 700107",700107,http://theheritageschool.org/,West Bengal,Schools,,,,,,,,,098302 01234,,,info@theheritageschool.org,info@noida.theheritageschool.in,admissions@noida.theheritageschool.in,9086767444,9086767555,9086767666,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mount Litera Zee School North Kolkata,"Barrackpore Matarangi Nava Randa, Suryapur, Nilganj Road, Kolkata, West Bengal 700121",700121,http://mlzsbarrackpore.com/,West Bengal,Schools,,,,,,,,,090380 11196,,,partner@mountlitera.com,mlzsmaheshtala@sainischools.net,info@mountlitera,9903683222,9007792858,9831875620,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"LAND NURSING HOME, NARAYANA SCHOOL, 47, Bahir Sarbamangala Para Rd, NEAR DREEAM, RENAISSANPA TOWNSHIP, Bardhaman, West Bengal 713104",713104,http://www.narayanaschools.in/,West Bengal,Schools,,,,,,,,,1800 102 3344,,,info@narayanagroup.com,agm.gur@narayanagroup.com,rajnagar@narayanagroup.com,+91-8744054800,8373915146,9866073972,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Narayana School,Belilious road opposite to tikiapara railway station beside belilious park, Tikiapara, Howrah, West Bengal 711101",711101,http://www.narayanaschools.in/,West Bengal,Schools,,,,,,,,,1800 102 3344,,,info@narayanagroup.com,agm.gur@narayanagroup.com,rajnagar@narayanagroup.com,+91-8744054800,8373915146,9866073972,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Shibrampur Rd, behind GREEN FIELD CITY, Sukdebpur, Maheshtala, West Bengal 700140",700140,http://www.narayanaschools.in/,West Bengal,Schools,,,,,,,,,1800 102 3344,,,info@narayanagroup.com,agm.gur@narayanagroup.com,rajnagar@narayanagroup.com,+91-8744054800,8373915146,9866073972,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
"St. Augustine's School, Kalimpong","8th Mile, L.B. Road, Kalimpong Khasmahal, Kalimpong, Darjeeling, West Bengal 734301",734301,http://www.saskalimpong.com/,West Bengal,Schools,,,,,,,,,0354 233 8121,,,principal@saskalimpong.com,sequeirastany@rediffmail.com,simickjs@yahoo.com,9382682527,9434886513,9832310962,"admission.naini@jaipuria.school, info.naini@jaipuria.school, gzb.jaipuria54205@gmail.com, rana.manju@yahoo.co.in, enquiry.stg@jaipuria.school, rana.manju@yahoo, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Delhi Public School (Joka ) South Kolkata,"Gazipur (Keyatalahat), Bakra Hat Road, P.O - Kanganberia, South 24 Parganas, Bishnupur, West Bengal 743503",743503,http://www.dpsjoka.com/,West Bengal,Schools,,,,,,,,,033 2498 1046,,,info@dpsjokasouthkolkata.com,accounts@dpsjokasouthkolkata.com,admission@dpsjokasouthkolkata.com,transport@dpsjokasouthkolkata.com,info@dpsjoka.com,info@dpsjokasouthkolkata,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Air Force School,"Kalaikunda Air field, Midnapore (W), Kharagpur, West Bengal 721303",721303,http://afschoolkkd.org/,West Bengal,Schools,,,,,,,,,03222 232 081,,,afsvnedn@gmail.com,principalafsvn@gmail.com,admissions@modernschoolgz.com,9811557942,9343818181,9035272410,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
The Assembly of God Church School,"18/1, Royd Street, Kolkata, West Bengal 700016",700016,http://www.agcschools.edu.in/,West Bengal,Schools,,,,,,,,,033 2229 9537,,,it.pkt@agcschools.edu.in,agparkstreet@agcschools.edu.in,agcsuk_80@hotmail.com,agcsuk80@gmail.com,agcspr123@rediffmail.com,contact@agcspurulia.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
DPS BURDWAN,"BUS STAND, 105, PC Mitra Ln, opposite to OLD TIN KONIA, Khosbagan, Bardhaman, West Bengal 713101",713101,http://www.dpsburdwan.com/,West Bengal,Schools,,,,,,,,,090023 71111,,,info@dpsbdn.org,dpsbdn@yahoo.in,principal@dpsbdn.org,9332623227,8001916092,+91 - 9332623227,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St.Paul's Academy,"NH 2, Pamra, Bambattala More, Joteram, Bardhaman, West Bengal 713104",713104,https://www.stpaulsacademybwn.org/,West Bengal,Schools,,,,,,,,,0342 324 4455,,,stpacademy@rediffmail.com,stpaulsacademyhajipur@gmail.com,spaburdwan@gmail.com,9958472707,7290093423,+91-9675964597,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
School,"1/C, Chatla Central Rd, Chetla, Kolkata, West Bengal 700027",700027,http://ssa.org.in/,West Bengal,Schools,,,,,,,,,033 2456 9090,,,info@schoolofindia.com,admissions@schoolofindia.com,hr@schoolofindia.com,7204051947,7795051947,avodaya@nda.vsnl.net.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SHEMFORD FUTURISTIC SCHOOL,"Goda P, West Bengal 713102",713102,http://shemfordburdwan.com/,West Bengal,Schools,,,,,,,,,070471 28077,,,admissions@gurugram.shemford.com,burdwan@shemford.com,pinjore@shemford.com,8001727777,8001728888,+91-8448496733,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"NARAYANA SCHOOLS,F-57/317/272/A,BUDDHA PARK RATHTALA,KALYANI,NADIYA DIST, West Bengal 721636",721636,http://www.narayanaschools.in/,West Bengal,Schools,,,,,,,,,1800 102 3344,,,mgroad@narayanagroup.com,rajnagar@narayanagroup.com,srschowk@narayanagroup.com,+91-8744068981,8373915146,9999999999,"7086055506, 7086055507, 7337329964, 7673822221, 7673822220, 7088100160, 9105244622, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Presidency University,"86, 1, College St, Calcutta University, College Square, Kolkata, West Bengal 700073",700073,http://presiuniv.ac.in/,West Bengal,Schools,,,,,,,,,033 4052 9999,,,vc.office@presiuniv.ac.in,sec.registrar@presiuniv.ac.in,hod.dls@presiuniv.ac.in,9022092222,9538812343,9538712342,"7042492963, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
