CRM ID ,Hot Lead School Name,Address,Mobile No. 
82333,Innovator school,"Address - Rau, 194, Braj Vihar Colony, Indore, Madhya Pradesh 453331, Phone - 090090 20606",919009020606
82343,Jd School,address not found,917024413142
82321,Jitendra Bal Vinay Mandir,"Address - 577/10 D Nand Bagh Colony, Kasera Bazar, Indore - 452001 (website)",918817464746
82447,Jyoti Senior secondary school Rewa,"Address - NH - 7, Allahabad Rewa Road, Rewa, Madhya Pradesh - 486001 (school website)",919752962019
82404,Kanwartara Public H.s School,"Address - Shrinagar Colony Extn., Barwaha Road, Mandleshwar (451221), Madhya Pradesh",919926064231
82500,Kautilya Educational Academy Dewas,"Address - Kautilya Education Academy,Shajapur A.B. Road(Barwal), SHAJAPUR Dist: SHAJAPUR MADHYA PRADESH - 465001 Phone - 9479766310, 9425123079",919993030308
82367,Kiddy Paradise School,"Address - kiddy paradise school, infront of kavi pradip udhyan barnagar barnagar, ujjain, Madhya Pradesh 456771 India, 084350 16969",918435016969
,,,
82376,Kids Foundation,"Address - 70, Moon Palace Colony, Behind Annapurna Thana, Indore, India, 452009, Phone - 0731 498 3455",919303441711
82357,Kinder Buds School,"Address - 44, Kranti Kriplani Nagar, Indore, Madhya Pradesh 452009, Tel: +91-9993834881",919993834881
82440,Knowledge Buddy Learning Academy,"Address - 346-A Second Floor, Mahalaxmi Nagar ,Indore saurabhkhadiwal@gmail.com Mob: 7247511399",917247511399
82444,KRISHNA ACADEMY,"Address - KRISHANA ACADEMY DHARGAON TEH.MAHESHWAR DISTT.KHARGONE(M.P.) 451221, 8120709899,8717877855",918224808050
82409,Ladybird school,"Address - 159KA, Ilyas Colony Rd, Shalimar Colony, Khajrana, Indore, Madhya Pradesh 452016, Phone: 090095 46186",919099546186
82306,Lakewood international school Ritwik pathak,"Address - 140/1,Bisnavda,Airport Road, Bisnavda, Madhya Pradesh 453112 9930073255",919833734183
82492,Lioness vidhya mandir school,"Address - MVJW+C4M, Dev Guradia Rd, Near Tejaji Chowk, Near Ponpad Panchayat, Dinesh Nagar, Palda, Indore, Madhya Pradesh 452001",919617392501
82451,Little Champs school,"Address: 62, Aerodrum Rd, Ambikapuri Main, Indore, Madhya Pradesh 452006 (website)",919827526115
82363,Little Cipur School,"Address - Mahalaxmi Branch: MR 4/161, Near Bombay Hospital, Indore 9893276696 pincode - 452010",919893146668
82528,Little harvard international school,"Address - Hi link city extension,chota bangarda road , Indore, India, Madhya Pradesh (098267 86797) (school facebook ID)",919340603033
82515,MAA JINWANI PUBLIC SCHOOL,Address - pushpgiri teerth sonkatch dewas MP 455118,91982699841
82303,Madhav Science College Ujjain,"Inko Address nahi le rahe hai, inko ham nahi bhejenge",919713389538
82279,Mahtma gandhi hr sec school,"Address - Mahtma gandhi hr sec school, A.B Road,Shajapur, M.P. - 465 001",919981134926
82461,Mar Thoma Higher Secondary School,"Address - Sector C, Sukhliya, Nayay Nagar, Main Road, Indore (M.P.)-452010",918462817793
82461,Mar Thoma Higher Secondary School,"Address - Sector C, Sukhliya, Nayay Nagar, Main Road, Indore (M.P.)",918462817793
82453,Medi-Caps University,"Address - Medi-Caps University A.B. Road, Pigdamber, Rau Indore - 453331 07313111500 , 07313111501",919669663339
82425,MIT World Peace School,"Address - Gat No. 296/297, Gandhi Nagar, Opp to HP Petrol Pump, Indore 453112 (MP)",919229349203
82257,Modern public school indore,"Address - Modern Public School, Son Vay Mhow, Indore, Madhya Pradesh. PIN CODE - 453332",919827913697
82259,Mohammd Shoib,"Address - 1 Khajrana Main Road Sardar Bagh, behind Patel Market, Khajrana, Indore, Madhya Pradesh 452016, Phone - 092032 07201",919300008185
82266,"Mount global school, raishen",address not found then called him but getting no response,919806309412
82266,"Mount global school, raishen","Address - GSE Campus, Tajpura road, near Ashok Nagar, Raisen, Pincode - 464993 +91 6269904722",919806309412
82491,"Mount Litera Zee School,Mhow","Address - 361/7,Beircha Road, Mhow Madhya Pradesh, PIN-453441, 6262607501,02,03,04",919644463405
82262,Mp police public hr sec school,"address -15th Batalian. S.A.F., Mahesh Guard Line Indore, Indore Gpo, Indore - 452001",918103891312
82302,Ms agarikala School,"Address - Dasrangpur, Kawardha, Agrikala, 491336, Chhattisgarh, India",919131445360
82441,Nahar Global school,"Address: Sagod Rd, opposite Jayant Sen Dham, Ratlam, Madhya Pradesh 457001 contact number - 09479792429",919516558975
82378,Nahata professional academy,Ye khud ka erp use karte hai to inka address ham nahi le rahe hai.,919993571577
82475,New Advance public high school,"Address - G172, Sh 27, Pologround Industrial Estate, Nanda Nagar, Malti Vanaspati, Indore, Madhya Pradesh 452015",917611116600
82487,New Valley Academy,"Address - Mhow, Madhya Pradesh, India, 453441 - 09977784628",919977784628
82539,New World Public school,"Address: 348, Dhar Rd, Ammar Nagar, Indore, Madhya Pradesh 45200 (google)",917879859907
82445,Nirmal international school,"Address - NIRMAL INTERNATIONAL SCHOOL, NAJARPUR - TARANA, ROAD, Bichrod, Madhya Pradesh 456665, 8989838778",918989838778
82399,Oscar Daycare and Preschool,"Address - D-13,H.I.G,RSS Shukla nagar behind shopping complex, A.B Road,, HIG Main Road, Indore, Madhya Pradesh - 452011, : 9755657777",917987371095
82277,pakiza school Indore,"Address - Pakiza Public School: U-Turn from Ankur Rehab Center, Sai Vihar Colony, Gram Jetpura, Near Dharampuri, Ujjain Road, Indore (M.P.) Pincode - 453555, +91 9109908802, +91 9109908804",918602050501
82286,Pankaj sahu,"Address - Nagin Nagar, Chandan Nagar, Indore, Madhya Pradesh 452006, Phone - 074850 96731",917000668271
82472,Parakh Public H. S. School,"Address - Sanwer, India, 453551, Phone - 098260 66807",919826066807
82394,Patidar International SchoolNilima Vakil,"Address - Patidar International School Umia Hills, Maxi Rd, Tajpur, Madhya Pradesh 456010, +91 7880008056, +91 7880008057",919893433139
82458,Phoenix International school,Wrong entry of address in phoenix schoool kindly ignore 1st one,919713728172
82458,Phoenix International school,"Address - Progressive Kidz Sudama Nagar, Biaora District Rajgarh 465674 (M.P) +91 9425422448",919713728172
82506,Plato A school,address not found then called him but getting no response,919826863812
82383,Prarambh School,"Address - 212/4, AB Rd, opp. Panchvati Colony, Talawali Chanda, Indore, Madhya Pradesh 453771, Phone - 09993870864",919993870864
82430,Prestige Group,"Address - Address Prestige Vihar’, Sch. No. 74-C, Sector D Vijay Nagar,Indore – 10 , M.P. (India) Phone +91-731- 4016666, 4016602, 4016625 Fax +91-731- 4016633",919827037474
82498,Prestige Public School Indore,"Address - Prestige Vihar’, Sch. No. 74-C, Sector D Vijay Nagar,Indore – 10 , M.P. (India) Phone +91-731- 4016666, 4016602, 4016625",919584966693
82457,Progressive Heights,"Address - Progressive Kidz Sudama Nagar, Biaora District Rajgarh 465674 (M.P) +91 9425422448",919425422448
82365,Prudential Kids Her Sec School,"Address - Near Tirumala Greens, Behind DPS School, Nipaniya, Indore",919340102129
82313,Rajneesh Mishra,"Address: 523/2, Tikariya Rd, Nanda Nagar, Kamala Nehru Nagar, Indore, Madhya Pradesh 452015 (Malav bharti school)",919827634341
82478,RAJORIA INTERNATIONAL,"Address: 100, Veena Nagar Main Rd, Khati Pura Rd, DDU Nagar, Sukhlia, Indore, Madhya Pradesh 452003",917489276224
82350,Regel Cambridge Academy,"Address - 155/4, Sundar Nagar, Sanwer Rd, Banganga, Indore, Madhya Pradesh 452015, Phone - 9425089724 / 9977577775",919977077773
82410,Renaissance University,"Address - Campus Address - Gram Revti, Behind Aurobindo Hospital Sanwer-Ujjain Road, Indore (M.P.) - 452015. Office Address - 201-202, HeadQuarter Building, IDA Plot no. 54, Satya Sai Square, Indore (M.P.) - 452010",919893820888
82353,Rigal School,"Address - 155/4, Sundar Nagar, Sanwer Rd, Banganga, Indore, Madhya Pradesh 452015, Phone - 94250 89724",919770583354
82412,Royal Raman Academy,"Address - M 176 BHAWANI NAGAR ,Ward No.7, Indore Urban Indore, Madhya Pradesh PIN Code: 452001 (INDIA) (website)",918959058615
82524,RPL Maheshwari College,"Address - RPL Maheshwari College, 51 Chattribag, Indore, Madhya Pradesh 452002, 9039094111",918319936526
82264,Ryan international Indore,"Address - 97/4,VIP Parasper Nagar Near IDA Auditorium, Indore, M.P. (school website)",919754523332
82476,Saint national public school,"Address - 433, Chandan Nagar, Indore, Madhya Pradesh 452002",917722993737
82275,Samta international school,"Address - SAMTA SHIKSHA NIKETAN Bhagwan Mahavir Marg Sagod Road Ratlam 457001 Madhya Pradesh, 07412 243066 9589324306",918989467693
82452,San Thome Academy,"Address - San Thome Academy, Bhopal Road, Dewas, Madhya Pradesh - 455001",919407470242
82452,San Thome Academy,"Address - San Thome Academy, Bhopal Road, Dewas, Madhya Pradesh - 455001",919407470242
82400,SANDIPANI ACADEMY Mandleshwar,"Address - Sandipani Academy Maheshwar Road, Mandleshwar, Pin-451221 Dist- Khargone(MP) India +91 7610489296 +91 7610489297",919926102214
82538,Sanjivani Global Academy,Address - Indore Bhopal Highway Bhourasa Sonkatch Dewas 455115,919981104970
82431,Sanmati School,"Address: Doordarshan Kendra, Residency, White Church Colony, Residency Area, Indore, Madhya Pradesh 452001 (Sanmati Higher Secondary School)",919131422584
82540,Sarashwati Gyan Mandir,"Address - 262/3 Shital Nagar, Kushwaha Nagar, Main Road, Indore, Banganga, Indore - 452015 (Near Indore Convent School)",916261916868
82470,Satya sai english school,"Address - 24A, AB Rd, Vasant Vihar Colony, Vijay Nagar, Indore, Madhya Pradesh 452010, India, Phone - 0731-2553023",917974466911
82339,Satya Sai Vidya Vihar,"Address - Scheme No. 54, A.B. Road, Vijay Nagar, 01, Sector A, Slice 6, Aranya Nagar, Vijay Nagar, Indore, Madhya Pradesh 452010 : 0731-2553023",919424848668
82469,Sausar public school,"Address - Ward no. 08 Anjakar Colony, Sausar, Dist. Chhindwara (M.P.) 480106 India, Phone - 09752607977 / 08251868259",919300642454
82520,"School of Yoga, DAVV University, Indore","Address - Devi Ahilya Vishwavidyalaya, Nalanda Campus, R. N. T. Marg, Indore (M.P.),India Pin- 452 001 Phone:+91-731-2527532",919343244705
82330,Shaurya saraf,"Address - AB Road, Rau, Opposite Akashwani, Indore, MP, India – 453 331, Phone - +91-8720009992 / 93",918329495854
82526,Sherringwood World School,"Address - 4, Gyans Park,Telephone Nagar, Indore-452018, T: +91-7898921212 M: +91 7898900111",919179110072
82518,Shiksha Shikhar,"Address - Bhumi Survey no.44, Gram Ashapura, Mhow-Mandleshwar Road, Tehsil: Dr Ambedkar nagar (Mhow), District: Indore (M.P.) Pincode - 453441, Mobile: 7471119295",919836189589
82518,Shiksha Shikhar,"Address - Bhumi Survey no.44, Gram Ashapura, Mhow-Mandleshwar Road, Tehsil: Dr Ambedkar nagar (Mhow), District: Indore (M.P.), Mobile: 7471119295",919836189589
82501,Shikshalay Day Scholar School,"Address - 19, Shri Krishna Enclave, Sanwer Road, Indore, India, 452001, Phone - 06232101322",916232101321
82374,Shishu kunj International School,"Address - The Shishukunj International School – North Campus CBSE Affiliation No. 1031254 Gram Badodia Ema, Behind Vishwanath Dham, 453111, Indore – Ujjain Road, Indore Phone NO: +91 6262628311, +91 6262628312 Landline NO: 0732 1299017",917024441314
82328,Shiva academy,"Address - Ranmalbiluod, Madhya Pradesh 453001",919340516932
82510,Shivajirao Kadam Institute Of technology,"Address - Shivajirao Kadam Group of Institutions, Off Indore Bypass Road, Near Ralamandal Sanctuary, Tillore Khurd, Indore-452020, Madhya Pradesh India, Phone - 9770907113, 9770907100",919893302711
82483,Shree Academy,"Address - Kodariya, Madhya Pradesh, India, Pin Code - 453441, Phone - 09826714193",919826714193
82521,Shree Balaji Academy,"Address - Satwas Rd, Kannod, Dewas, Madhya Pradesh 455332, Phone - 08435155455",91982687779
82525,Shree Ganesh Convent school,"Address - 49 Arvind Nagar Infront Of Shiv Nagar, Musakhedi Indore, Indore Gpo, Indore - 452001,",919827553244
82267,Shree hd prajapati academy,"Shri S D Prajapati academy, Address: 91/1, Main Road, Banganga, Indore, Madhya Pradesh 452015",917000080343
82390,Shree Sanskar academy,"Address - Academy Road Agar Disst. Agar Malwa (M.P.) contact number - 07362-259660, 258660, 258999, 260999",919407428444
82493,Shree Shanti Vidya Niketan,"Address - 355, Dwarkapuri, Indore, Madhya Pradesh 452009",919424889949
82324,Shree Swami Ramanand Vidya Sankul,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064, +91 963 005 8438",917024574702
82324,Shree Swami Ramanand Vidya Sankul,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064 +91 963 005 8438",917024574702
82361,Shresh Dp School,address not found,918319090800
82462,"Shri Jaigovind Gopinath H. S School, Mho","Address - SHRI JAIGOVIND GOPINATH HIGHER SEOCONDARY SCHOOL, ADDRESS 49, PEET ROAD NEAR RAILWAY STATION, MHOW, 07324-299323",919826755161
82488,Shri ramashraya public h s school,"Address - JRRH+HG9, Saptashrungi Nagar, Indore, Madhya Pradesh 452012",919893078305
82531,Shrikanwartara Pub Hr Sec School Mandles,"Address - Shrinagar Colony Extn., Barwaha Road, Mandleshwar (451221), Madhya Pradesh, 096696 97027",919669696243
82347,Sikka,"Address - Plot. 17 & 17A, Phase – II Scheme No. 78, INDORE – 452010, Phone no - (+)91 731 2577254, 2577271",918866330440
82411,Silicon Academy,Address not found,918269091313
82255,Silicon Acadmey,"Address: 76, Gali Number 3, Ward 7, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",918269091343
82301,Smt. Kamala Saklecha Gyan Mandir,"Address - Smt. Kamala Saklecha Gyan Mandir Bhanpura Dist: Mandsaur-458 775, Madhyapradesh. · +91-7427-280687 / 236563",919967059206
82355,Spectra Technologies India Pvt Ltd,Ye competitor hai iska address nahi lena hai nahi bhejna hai new year kit,918010011010
82446,Springfield World School,"Address - Springfield World School Opposite ITC Choupal, Lashkarpur Road, Vidisha 464001 (M.P.) India T: +91-7592 297 070 / M: +91-9179001197",917879629757
82380,Sri Sathya Sai Vidya Vihar,"Address - Scheme No. 54, A.B. Road Indore",919425032677
82463,Sri Sri Ravishankar Vidya Mandir Indore,"Address - Sri Sri Ravishankar Vidya Mandir Village Sanawadia, Behind Devguradiya Temple, Nemawar Road, Indore-452016, Madhya Pradesh, India, 8889010888, 07312863100, 07312863300",919893378881
82495,St Mary senior secondary school,"Address - St.Mary Champion School Navdapanth , Dhar Road, Indore 452013,",918210078460
82514,St. Augustin School,"Address - Narmada Nagar Road, Punasa, Dist. Khandwa (MP) 450114, Phone - 9424803492",918889972168
82467,St. Jones,"Address - Maharana Pratap Teraha, Jabalpur Naka, Shrivastav Colony, Vaishali Nagar, Damoh, Madhya Pradesh 470661, 07812-221658 +91 8109724606",919009864003
82389,St. Mary Champion H S School,"Address - St.Mary Champion School, Navdapanth , Dhar Road, Indore, Phone - 9981995901, 6264901856",918770184523
82345,Sukun India,"Address - Sukun India, 70C, Suvidhi Nagar, MR 5, Super Corridor 452005 Indore, Madhya Pradesh, India, 8602125015",918435305979
82256,Suman convent school,"Address - Village Ataheda Tehsil Depalpur, Depalpur, Indore - 453115 (Zila Indore)",919981130877
82256,Suman convent school,"Address - Village Ataheda Tehsil Depalpur, Depalpur, Indore - 453115 (Zila Indore)",919981130877
82370,The Academic City,"Address - Mohankheda Jain Tirth, Rajgarh (Dhar), Manglia, 453771",919826727022
82331,The Aditya Birla Public School,"Address - The Aditya Birla Public School Dahej Road, Kesrol, P.O. - Eksal, Bharuch, Gujarat, PIN - 392130, +91-9904203311",919649416666
81925,THE EMERALD HEIGHTS INTERNATIONAL SCHOOL,"Address - AB Road, Rau, Opposite Akashwani, Indore, MP, India – 453331, Phone - 8720009992 / 93",918720009992
82480,The Learning villa school,"Address - HO -23-C Sangam Nagar, Near Ram Mandir Indore 452006, Phone - 9826532550 7697436916",919826424001
82360,The Legacy world school,"Address: 225, Airport Rd, Dwarkadhish Colony, Panchsheel Nagar, Indore, Madhya Pradesh 452005",919893079247 Deesha Ojha Owner
82364,The Shishukunj International School,"Address - Jhalaria, Bypass Road, Indore, 452016, Madhya Pradesh, India, 9111104781/82, 9644733315/16",919977600229
82369,The Wizz Kids Preschool & Activity Club,"Address - 102, Sampat Farms, Opposite Grande Exotica, Bicholi Mardana, Indore (M.P), Phone - (+91) 9111499119, 9111099119",919111099119
82368,The Wonder Years School,"Address: 142, Dhanwantri Nagar, Rajendra Nagar, Indore, Madhya Pradesh 45200",919977750058
82517,Unnati Academy,"Address -Unnati Academy, Anu Nagar, Badnawar, Dist. Dhar- 454660 (M.P.), Phone: 8982892018, 9981626161",919685143339
82465,UPES Dehradun,address not found,918448581647
82381,Vedaant Vidhyakulum,"Address - Vedaant Vidhyakulum, Kanadia Road, Village Barodiya Kera,Indore, Kara, Village Barodia, Kanadia Main Rd, Indore, Madhya Pradesh 452016 MP, 82259 55500",917974592006
82310,Vrashali Singh,"Address: Buranakhedi, Kanadia Road, Dist.Indore, Somdeep International School",917898021000
82473,Yatharth international school,"Address - 136-B, Nagin Nagar Rd, Nagin Nagar near Kalani Nagar, Indore, Madhya Pradesh 452006, Phone: 089822 89888",919754641888
82274,Yugantar international,"Address - Yugantar international, Gram Undasa, Kanipura Tarana Road, Ujjain (M.P.) 456006, +91-7440371111",919039241112
502,Shivam Public School,"Shivam Public School, Shivam nagar Dhakar mod khurja, Pin :- 203131",74097 40907
702,Oil valley Girls and Boys School,"Oil Valley Girls' & Boys' School, (CBSE) Banipur, Hatimurah, P.O. DIBRUGARH, Assam 786003. ",69016 81354
65115,"Uma Devi Acadmey, Mohammadi ","Uma Devi Children's Academy, Gulauly Road, Mohammadi Kheri Pin :- 262804",93366 39504
65203,Dr Rajeev Modern Public School: Rajeev Varma,"Dr Rajeev Modern Public School, SDM Colony Near Block Gate and Pitamberpur Station Faridpur, Pin code 243503",81712 32133
65273,Bharti Vidya Bhawan (BVB) Banswara : Piyush Nagawat,"Bharti Vidhya Bhawan sr sec school, Ratitalai link road,Banswara rajasthan 327001",90049 78778
67768,Sham Golden Academy,"Sham Golden Academy, 36/D, Topsia Road (East) Kolkata - Pin -700100, Uttar Panchanna Gram",97481 28123
65400,Ayush Public School,"Ayush Public School, Near PWD colony, Town: Jakhalabandha District: Nagaon, State: Assam. Post office: Jakhalabandha, Pin code: 782136.",98649 91736
66417,B P world school,"BP World School, Sunderbani Ward no 1 Sub-District Government Hospital Jammu & Kashmir, 185153 ",78897 17437
65365,Central Academy Ajmer,"Sudhakar kumar, CENTRAL ACADEMY, PRAGATI NAGAR KOTRA, AJMER RAJASTHAN, 305004",98280 77332
74594,Deoria Private ITI - Pawan Kumar,"Deoria Private ITI, Krishna Nagar Deoria Khas, District - Deoria, UP 274001",87001 83732
68678,Dream Valley Educational Institute-Altaf Maqbool,"Dream Valley Educational Institute Tangdar, District Kupwara, Tehsil Tarathpora, Pincode 193224",95963 42402
64874,Golden Dale School Begusarai,"Golden dale school, At- Ballia Block campus , Near Pashu hospital , District- Begusarai, Pin - 851211","90062 66194, 82923 54447"
68733,GOLDEN VALLEY H S SCHOOL-Joydip Deb,"GOLDEN VALLEY H S SCHOOL, PADMAPUR, DHARMANAGAR, PIN 799250, TRIPURA",94361 32294
68402,Gurukul International School,"Samarth Complex, Near Samarth Petroleum, Nashik-Saputara Highway, Dindori , Dindori, India, Maharashtra 422202",95526 67478
66289,Lotus international school,"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + dist - Bhandara, Maharastra 441906 MOHADI BRANCH ADDRESS - Dongargaon siddhi mandir jawal andhalgaon road tah - mohadi dist - Bhandara 441906",80555 51345 (jawaharnagar branch)
66555,Maharaja Agrasen Polytechnic College-Navneet,"Maharaja Agrasen Polytechnic College, Dayantpur jewar G.B.Nagar UP 203135",78300 36335
80929,Mathan School of Music-Praveen Sir,"1759 MJT Buildings
Olumbus Ramanathapuram
Coimbatore 641045",97913 04311
66104,MODERN INTERNATIONAL SCHOOL/Chandrashakher Patel,"Modern international school khulri, Village+post- khulri, Teh. - gadarwara, Distt.- narsinghpur 487441",6268 586 583
2488,Prabhu Dayal Vidyalaya Kurukshetra,"H No. 1635, Sector - 13, Urban Estate, Kurukshetra HARYANA, Pin Code - 136118",82953 11978
81,QMS Boys,Queen marys sr sec school ramnagar pushkar Road ajmer 305004,97726 01466
405,QMS Girls,"Queen Mary's Girls School, B K Kaul Nagar, Pushkar Road, Ajmer 305001",80036 27170
404,QMS Nasirabad,"Nandla, Nasirabad, Dist Ajmer, Rajasthan, Ajmer, Rajasthan 305601",94612 76730
81437,RK Bansal International School,"R. K. Bansal International School, Village Kamed, Ujjain-Nagda Bypass, Near Mangalnath Temple, Ujjain (MP)-456006",95755 29777
82225,Samrat Ashok College,"238/239 Green Height, A-Sec, Sarvadharm Kolar, Bhopal",reseller end 9301551532
69066,Sanskriti Global School Badnagar,"The Sanskriti Global School, SH-18, Ujjain Barnagar Highway, Near Kharsod khurd, Barnagar, Distt. Ujjain 456222",90097 49551
65811,Shyama devi public school,"Shyama devi public school, Village Babhnauli post Barawa Bazar District Kushinagar UP 274305",96287 54001
82100,www.mountvalley.co.in,,
5,"Akshat International School, Ujjain","Akshat International School, Lalpur, Ujjain Dewas Rd, Nagziri, Ujjain, Madhya Pradesh 456664",88394 52019
59,"Kalidas Montessori Nanakheda Branch, Ujjain ",Ujjain,98275 87089
75,KALIDAS MONTESSORI SENIOR SECONDARY SCHOOL,"Address–17,MILKIPURA, Bada teliwada,UJJAIN-456010, 89826 13275, 90395 13294",89826 13275
287,Kids Gurukul,"Plot No. 111 Parshpuram Apartment, Jay Nagar, Near Omkareshwar Temple, Jalgaon 425001, Minal Mam- 8208057602, Kruti Mam - 9823495225",94038 43866
521,virgin mary school ujjain,"Virgin Mary H S School, 157, Mangal Colony , Udyan Marg , Sethi Nagar Ujjain, Pincode - 456001, Contact: 7000187472 ",94259 15435
525,Gateway International High School,"Postal address:- M.RAJASHEKHAR REDDY, Gateway International High school, Budwel,Rajendranagar, Hyderabad-30,Pin code - 500030, Ph no:8886085556/9133443300",8919301406
8136,KADAMBINI CHILDRENS ACADEMY,"Kadambini Children's Academy, A-55, Indira Nagar, Agar Road,Ujjain, pincode: 456010, 0734-2580423. 9893087678",88171 57272
65247,"Neuron Labs, Pune ","Neuron Labs School, Survey no 19, Behind Vitthal Mandir, Before 10 Vrindavan Society, Dhanori, Pune - 411015, Contact no. 09545008800",98901 80381
65266,"GdGoenka Lapetite Lohia Nagar, Ghaziabad","Gd Goenka La Petite, C-3, Lohia Nagar, Gzb,Pin code - 201001,Phone - 9953998904, 7838360542",99539 98904
65358,Aatmdeep Vidyalaya,"Aatmdeep vidyalaya, Siktaur , Near Deoria bypass , Gorakhpur, Pin code - 273010, Contact no . 8853210002 , 9935703444",78000 43145
66181,Shri Pragya Public School Bijai Nagar,"Shri Pragya Public School, Pragya Road, Bijainagar, Dist. Beawar, Pin code 305624, mob. 9461996117",98287 13008
67767,Muskan International School,"Muskan International School Kantabanji, Dist: Bolangir, State: Odisha, Pin code: 767039, Mobile number: +91-9937794103",99377 94103
68400,SVM CHILDRENS ACADEMY,"svm children's academy,diwan anagar khora bisal, Jairampura road, Jaipur, Pin - 302012,Mobile - 9928048748, 9829854868",99280 48748
68729,"Vision Public School, Nagda","Vision Public School, 28/5, Prakash Nagar, Nagda Jn. 456335, 8770444151, 9893798945",87704 44151
81540,Pragya International School,"Pragya International School, Ward No 2, Pragya Road, Bijainagar Dist. Beawar Pin Code 305624, mob. 7357659177",98287 13008
81808,NEW HORIZON WORLD ACADEMY,"New horizon world academy Plot no 58 to 62 sector 20 koparkhairne 400709, 9152139989, 7039422240",98334 05116
66181,Bhinai,"Sri Pragya Public school, Sthanak Gali, Bhinai, Pincode - 305622, phone- 6377506336",6377506336
66181,Gulabpura,"Shri Pragya Public School, Shri Nanak Jain Chahatralya, Gulabpura Dist : Bhilwara, Rajasthan, Phone - 8529251166, Pincode - 311021",8529251166
66181,College,"Shri Pragya Mahavidyalaya, Pragya Road, Bijainagar, Dist. Beawar, Pin Code 305624, Contact 9587888125",9587888125
3,"Stanford International Girls School, Ujjain","gram mindia ,Indore road, Ujjain,456001",94259 84873
401,Himalaya Inter college-Prakash karki,"NH309A, Chaukori,Uttarakhand 262531",96273 88565
432,Rainbow India School-P S Bhati,"Plot no 13, dharmadeep park,bhuj kutch Gujarat,370001",88662 22236
3897,Elite International School,"Elite International School, Near Civil Hospital Kandaghat,Pin code 173215 ,Contact 9780858487",97808 58487
8122,Aaradhya International School,"Munja Khedi, Narwar, Dewas-Ujjain Road, Ujjain (M.P.)-456664",96855 13689
10982,Shree SudhaSagar Digamber Jain Vidya Vihar Senior Secondary School-Anand Soni,"Shri SudhaSagar Digamber Jain Vidhya Vihar senior secondary school,Sapanda Road,Kekri - 305404",92145 57857
11256,SNS ACADEMY COIMBATORE,"538, THUDIYALUR-SARAVANAMPATTI ROAD, VELLAKINAR, COIMBATORE-641029,",96985 29745
65196,Mom’s Pride Education Society,"Mini bypass road, Near Delhi Pul, Sirsa - 125055",99911 00101
65254,Shree Santoshi Global School,"Address: 26, Shyam residency, Nr. SSGS Preschool, SSGS Preschool Rd, Bavla, Gujarat 382220 ",82640 06699
65360,"Royal Public School, Ajmer ","Shri Balaji Royal Public school Foy Sagar road chamunda chowraha Ajmer,305005",85598 95515
65406,Palm International School,Palm International School Bariatu Ranchi - 834009 Jharkhand,80020 04339
66416,The Legend School,"Near main gate of Maharaja Bada Bagh,Kadavi road Dumraon 802119 ",96931 40322
67457,Third Millennium Public School Nowshera ,"amar bagh bela, ward no 01 ,Nowsher 185151",90706 74744
67706,Birsa residential school,"saldega,PO/PS dist simdega(JH) 835223",93860 48376
68143,RISING BUDS PUBLIC SCHOOL,"POORE BADAL WARD, NAGAR PANCHAYAT SUBEHA, BARABANKI",91615 00483
68375,Sunshine public school,"16/7 dodda gollarahatti, magadi, main road , banglore - 560091 ",97395 95460
68417,Shree Narsingh Vidhya Higher Secondary School-Sunil Kumar Upadhyay,"samba Ghagwal,M.S Radial Naran, Jammu & Kashmir 184141",77809 30901
68597,Vipul Educational Institution,VIPUL PUBLIC SCHOOL Dungra chhota Teh. Sajjangarh Dist. Banswara Rajasthan 327602,98287 05752
68624,YUG NIRMAN SHIKSHAN SANSTHAN SENIOR SECONDARY SCHOOL,"Yug Nirman shikshan sansthan inter college,Deoria Khas,,District -Deoria,State -U P,Pin code -274001",94558 28947
68913,Maharishi Dayanand Public School,Near CRPF CG 1 Ajmer ,97845 02143
74234,St. Gorakh Nath Children Academy,"St. Gorakh Nath Children Academy, near Post Office, Kandhla, Uttar Pradesh 247775",9627206946
76046,SYNOD ENGLISH MISSION SCHOOL,"Ward no 2, Gauripur, Dhubri(Dist), Assam. 783331",70028 33612
81860,Satyam Bright Future Public School Mathura,Satyam bright future public school near Bansal vatika Aurangabad road mathura 281006,63981 67 725
81934,legend school ,"Station road, Maharaja petrol pump dumraon 802119 ",97716 18024
284,Kids Arena,"The Tree House, 6A/D, Pushtikar CHS, Patel estate road, Opp Harbour line station, Jogeshwari west, Mumbai 400102, Ph 9821052249",86554 46322
314,Ken International,"Ken International Girls School Chak Jayrampur behind Sanchi Dugdh Sangh Maxi Road Ujjain, Pin code 45661, Mob.no. 7974761294",83196 03839
393,"Genius Global School, Solan , Himachal Pradesh ","Genius Global School, 194, Anand Vihar,Saproon, Solan (H.P.) , Pincode - 173211, Phone - 9816277154, 7778800054",77788 00054
