School Name,Address,Website,City,Category,Gender,Principal,Founded,Affiliation,Web Url,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed,,,
Cambridge School,"Shakti Khand II, Indirapuram, Ghaziabad, Uttar Pradesh 201010",http://ip.cambridgeschool.edu.in/,Uttar Pradesh,Schools,,,15 April 1999,Central Board of Secondary Education,,12 lakh,,0120 260 7330,president9@gmail.com,,"info.snp@cambridgeschool.edu.in, info.csn@cambridgeschoo.edu.in","mailus.nfc@cambridgeschool.edu.in, info.snp@cambridgeschool.edu.in","enquiry@cisfgjal.school, info.igcse@alphaeducation.edu.in",9311772893,"+91-7083225343, 9143124573","9143124573, 9143124555",,,,
Campion Anglo-Indian Higher Secondary School,"Promenade Road, opp. to Corporation office, Cantonment, Tiruchirappalli, Tamil Nadu 620001",http://www.campiontrichy.com/,Tamil Nadu,Schools,,,5 October 1934,,,5 lakh,,0431 246 0415,vineeta.bsc@hotmail.com,,campionschool@yahoo.co.in,campionschool@yahoo,,7305397514,7305397515,,"9501105625, 9814073342, 9779450735",,,
Campion School,"No.13, Cooperage Rd, Dr Ambedkar Statue Chowk Area, Fort, Mumbai, Maharashtra 400001",http://campionschool.in/,Maharashtra,ICSE School,,Paul Machado,,,,5 crore,,022 2202 0575,ghosh5@rediff.com,laxmilawande@gmail.com,principal@campionmumbai.org,principal.campionbpl@yahoo.co.in,csbbairagarh@gmail.com,9162614975,,,,,,
"Career Point World School Bilaspur, Chhattisgarh","Beside Radhasoami Satsang Beas, Dheka- Masturi Road, NH-200, Bilaspur, Chhattisgarh 495001",http://www.cpwsbilaspur.com/,Chhattisgarh,Private Schoos,,,,,,10 lakh,,098930 56085,sara1977@gmail.com,,info@cpwsbilaspur.com,surindercpbsp@gmail.com,,9893034360,9111011674,9111011672,,,,
Carmel School,"Cinnamara, Maz Gaon, Jorhat, Assam 785008",http://www.carmelschooljrt.org/,Assam,Schools,,,,,,8 lakh,,0376 236 0355,ac.msc@gmail.com,,info.an@mountcarmeldelhi.com,info.dw@mountcarmeldelhi.com,carmeldelhi@gmail.com,carmel.carmeldelhi@gmail.com,carmelschooldp@gmail.com,enquiry@mccsblr.edu.in,,,,
Central Board of Secondary Education,"Shiksha Kendra 2 Community Centre, Preet Vihar, New Delhi, Delhi 110092",http://cbse.nic.in/,"Uttar Pradesh, Ujhani","School, Private School",,,3 November 1962,,,2 crore,,011 2250 9257,,,"srana.cbse@gmail.com, roallahabad.cbse@nic.in","info.cbse@gov.in, chmn-cbse@nic.in","chmn-cbse@nic.in, hmn-cbse@nic.in","hmn-cbse@nic.in, rodelhi.cbse@gmail.com","jane-doe@cbse.nic.in, rochennai.cbse@nic.in","doejane@cbse.nic.in, roguwahati.cbse@nic.in","7200048442, 7338955105",,,
Central Hindu Girls School,"Luxa Rd, beside vasant kanya mahavidhyalaya, Rathyatra Kamachha Rd, opp. Idli Dosa Corner and Baawari saries and dress materials, Gurubagh, Bhelupur, Varanasi, Uttar Pradesh 221001",http://www.bhu.ac.in/CHGS/,"Varanasi, Mughalsarai","School, Kids School, Private School, CBSE School, ICSE School",,Abha Agrawal,1 July 1904,,,,,0542 239 8710,"abharaghav@gmail.com, shri17@yahoo.com, kashyap1970@gmail.com, mukeshdr@gmail.com, drmukesh@yahoo.com, er.arpita@gmail.com, er.george@gmail.com","sujit.msc@gmail.com, vinay.bsc@gmail.com, jagannath.bsc@gmail.com, phd.sachin@gmail.com, dr.gopi@gmail.com, singhnavjot@gmail.com",chgs_vns@yahoo.co.in,shubrasingh@bhu.com,"chanchalkumari1963@yahoo.co.in, abhachgs@gmail.com",8917800432,9453915627,9415819064,919783570031,,,
Central Modern School,"123/6/C, Gopal Lal Tagore Rd, Joyshree, Baranagar, West Bengal 700108",http://cmsreunion08.webs.com/,West Bengal,ICSE School,,,,,,1/2 crore,,033 2577 0101,,,tcms.2011@rediffmail.com,cms01de@gmail.com,classrevision@centralmodernschool.in,8100265454,9830588536,7439850226,9446878158,,,
Central University of Tamil Nadu,"CUTN Bridge, Neelakudy, Tamil Nadu 610005",http://cutn.ac.in/,Tamil Nadu,Schools,,,"30 September 2009, Tamil Nadu",,,12 lakh,,04366 277 261,rajeswari9@gmail.com,,pscoe@cutn.ac.in,psvc@cutn.ac.in,pavc@cutn.ac.in,9942363736,soexam@cutn.ac.in,jrestt@cutn.ac.in,,,,
Chettinad Vidyashram,"Chettinad House, Rajah Annamalaipuram, MRC Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600028",http://chettinadvidyashram.org/contact/,Chennai,Schools,Co-ED,S. Amudha Lakshmi,1986,Central Board of Secondary Education,,8 lakh,,"9786696574,  044 2493 8040",samudha@rediff.com,school.rsp@bvbcbe.in,c.vidyashram@gmail.com,principal.chettinadvidyashram@gmail.com,,,,,,,,
Chinmaya International Residential School,"karunya Nagar post, Siruvani Rd, Coimbatore, Tamil Nadu 641114",http://www.cirschool.org/,"Tamil Nadu, Kerala, Coimbatore, Arunachal Pradesh","School, Kids School, CBSE School, ICSE School, IB school, International School, Schools",Co-ED,Ms Rajeshwari G,1996,,,"2 crore, 1/2 crore, 2.5 crore, 4 crore, 5 lakh",,"0422 261 3300, 9677018605, 0422 261 3300","binu16@gmail.com, vk.bsc@gmail.com, guptabiswajit@gmail.com, abhishek11@gmail.com, emmanuel2@gmail.com, dasgupta.bsc@gmail.com, cst1976@gmail.com, juby11@gmail.com, rajeshwari1976@gmail.com, swaminathan16@gmail.com, dr.ravindranath@gmail.com","bulsara19@gmail.com, baburao.msc@gmail.com, khwaja14@gmail.com, ganesh.bsc@gmail.com, ganesh.msc@gmail.com, vijayrao.phd@gmail.com, kumanju@gmail.com, sadhana.msc@gmail.com, theadarsh@yahoo.com, pro.chandra@gmail.com, prakash17@gmail.com",jmoorjani@gmail.com,shanti@cirschool.org,principal@cirschool.org,9820028807,,,,,,
Christ Academy,"Plot No - 5, Sector - 23, Koparkhairne, Navi Mumbai, Maharashtra 400709",http://www.christacademy.co.in/,Maharashtra,"School, ICSE School",,Fr. Jaison Vadakkethala,,,,"2 crore, 1/2 crore",,022 2754 9075,"sujatamallic@gmail.com, sebastian6@gmail.com","jagadish.msc@gmail.com, vidhya.phd@gmail.com",office@caias.in,principal@christacademy.in,office@cajc.in,8884444462,9538768222,8035215155,,,,
Christian Medical College,"IDA Scudder Rd, Vellore, Tamil Nadu 632004",https://clin.cmcvellore.ac.in/,Chennai,Schools,Co-ED,Anna Pulimood,1900,The Tamil Nadu Dr. M.G.R. Medical University,,8 lakh,,0416 228 1000,er.anna@gmail.com,shrijitendra@gmail.com,emeds@cmcvellore.ac.in,,,,,,,,,
"City Montessori School, Indiranagar campus, Main building","A-825,, A-825, Indira Nagar, Lucknow, Uttar Pradesh 226016",http://cmseducation.org/campuses/indiranagar/,Uttar Pradesh,ICSE School,,Ms.Ruchi Bhawan Joshi,,,,5 crore,,0522 235 1887,er.singh@gmail.com,dr.jain@gmail.com,indiranagar@cmseducation.org,,,9005733855,7007236930,,"+91-7455941785, 9680079006, 9419163137",,,
City Vocational Public School,"250, Circular Rd, Meerut Cantt, Meerut, Uttar Pradesh 250001",http://www.cvpschool.com/,Uttar Pradesh,Schools,,Prem Mehta,1990,,,,,093893 46968,archananigam@gmail.com,dr.santosh@gmail.com,cvpschool_meerut@yahoo.com,cvpsprincipal@gmail.com,,+91-9389338683,9389346968,,,,,
Clarence High School,"#8, Pottery Rd, Richards Town, Bengaluru, Karnataka 560005",http://www.clarencehighschool.in/,Karnataka,ICSE School,,Dr. Jerry George Mathew,,,,2.5 crore,,080 4633 4633,srgracy@hotmail.com,pro.prkash@gmail.com,info@clarencehighschool.in,clarencepublicschool.jp@gmail.com,clarence.high@education.tas.gov.au,info@clarencehighschool,,,,,,
College of Engineering Bhubaneswar,"Plot No, 1 (A, Infocity Ave, Patia, Bhubaneswar, Odisha 751024",http://www.ceb.ac.in/,Odisha,Private School,,Subrat Kumar Mohanty,,,,2 crore,,0674 274 0133,dr.celine@gmail.com,mahadev8@gmail.com,info@koustuvgroup.ac.in,admission@koustuvgroup.ac.in,verification@koustuvgroup.ac.in,9330070080,7209996830,9438780849,,,,
Confluence World School,"Education Acres 6 Km Milestone NH 74 Road, Rudrapur, Kichha, Uttarakhand 263148",http://www.confluence.edu.in/,Uttarakhand,"Private School, ICSE School, IB school, School",,Meenakkshi Khetrapal,April 2012,,,"2 crore, 1/2 crore",,097601 99000,"er.anjana@hotmail.com, k1974@gmail.com, anjana17@rediff.com, arvinddr@rediff.com","pratapsingh.bsc@gmail.com, satishmagdum@gmail.com, manish13@gmail.com, sharma.bsc@gmail.com","principal@confluence.edu.in, counsellor@confluence.edu.in","counsellor@confluence.edu.in, principal@confluence.edu.in",,7060281200,7060201234,"9760199000, +91-9780871140",,,,
Convent Of Jesus & Mary,"Waverley, Mussoorie, Dehradun, Uttarakhand, Dehradun, Uttarakhand 248179",http://www.cjmwaverley.org/,Uttarakhand,School,,,,,,3789 crore,,0135 263 2747,,,cjm.delhi@yahoo.com,contact@cjmdelhi.com,contact@cjmdehradun.in,jandmcjm@hotmail,cjmschoolkharghar2002@gmail,jmambala@gmail.com,"8291303030, 8291707070, 8001208991",,,
D A V Senior Secondary School,"R-45 120 Feet Road, Anna Nagar W Ext Rd, Mogappair, Chennai, Tamil Nadu 600050",http://davchennai.org/,Chennai,Schools,Co-ED,Mrs Maliga Sridhar,1989,New Delhi,,9 lakh,,"9840013064, 044 2624 3818",sridhar.msc@gmail.com,deepa.msc@gmail.com,davschool.lko@gmail.com,kldav.hisar@gmail.com,davmohali@gmail.com,7081255020,9335092720,9888778887,,,,
D.A.V. Public School Bilaspur,"A273, Vasant Vihar, secl, Bilaspur, Chhattisgarh 495006",http://davbsp.org/,Chhattisgarh,"Schools, Kids School",,,,,,"9 lakh, 5 lakh",,077522 40262,"dr.mercy@hotmail.com, rojoa1983@gmail.com",,davbsppl1@yahoo.co.in,davblp2008@rediffmail.com,principal@davbsp.com,7752240261,7752240262,rajshekharrao@yahoo.co.in,,,,
D.A.V. School,"Sree Nandeeswarar Campus, 3rd St, Balaji Nagar, Adambakkam, Chennai, Tamil Nadu 600088",http://davadambakkam.org/,Chennai,ICSE School,,Mr.Rajendran/Mrs. J. Geetha,,,,,,044 2260 3544,dominic1988@yahoo.com,vishwambhar16@gmail.com,info@davcmc.net.in,edp@davcmc.net.in,davgst@davcmc.net.in,davr_dv@yahoo.com,davpvghaziabad@yahoo.com,,,,,
DAV Centenary Public School MANDI (HP),"Mandi - Pathankot Rd, Jawahar Nagar, Khaliar, Mandi, Himachal Pradesh 175001",http://davmandi.com/,Himachal Pradesh,"Private School, CBSE School",,Mr. K.S Guleria,,,,"2.5 crore, 3 crore",,01905 236 229,"wilson12@gmail.com, er.tirkey@gmail.com","praveensingh@gmail.com, rajkumar16@gmail.com",k.s.guleria77@gmail.com,davmandi.hp@gmail.com,dav_mandi@hotmail.com,9418077636,,,,,,
DAV College,"288/63, Aishbagh Rd, Arya Nagar, Charbagh, Lucknow, Uttar Pradesh 226004",http://www.davpglu.org/,"Uttar Pradesh, Lucknow",Private School,,Kaushal Kumar Pandey,,,,4 crore,,,"mary1990@yahoo.com, aditimrs@hotmail.com","sharan6@gmail.com, phd.rajesh@gmail.com",davcollegechandigarh@gmail.com,info@davchd.ac.in,supdt.office@davchd.ac.in,library@davchd.ac.in,vc@davuniversity.org,"info@davcollegemzn.org, davasr@yahoo.com",,,,
DAV International School,"Ahead of Vodafone, Corporate House Off Pralahadnagar, Corporate Rd, Makarba, Ahmedabad, Gujarat 380051",http://davahmedabad.net/,Gujarat,International School,,,,,,11 lakh,,079 4012 5555,correa13@gmail.com,,infodavintschool@yahoo.co.in,info@davintschool.org,davmulund@gmail.com,contact@everestkenbridgeschool.in,krsmdu@krsmdu.in,pvmkarur@gmail.com,,,,
DDMS P.Obul Reddy Public School,"Road Number 25, Venkatagiri, Jubilee Hills, Hyderabad, Telangana 500033",http://www.amsporps.org/,"Telangana, Mahabubnagar, Abids ","CBSE School, ICSE School, School, Play School",,Latha Shankar,1989,,,2 crore,,040 2354 8912,"meeta19@gmail.com, chawla19@gmail.com, marysister@rediff.com, utpal.bsc@rediff.com, prof1988@hotmail.com, colleensharpe@rediff.com, binumon@gmail.com","dubeyrakesh@gmail.com, gandlemahendra@gmail.com, kamaldev@gmail.com",careers@amsporps.org,info@amsporps.org,accounts@amsporps.org,transport@amsporps.org,academics@amsporps.org,careercounsellor@amsporps.org,,,,
DELHI PUBLIC SCHOOL,"LIG Timberlake Rd, Khajaguda, Balanagar, Hyderabad, Telangana 500011",http://www.dpshyderabad.in/,Telangana,School,,,,,,2 crore,,040 2980 6765,,,principaloffice@dpsguwahati.in,coordinator.dpsghostel@gmail.com,accounts.dpsghostel@gmail.com,7086055501,7086055502,7086055503,"8808677337, 9369132343, 9450093776",,,
"DELHI PUBLIC SCHOOL, DHANBAD",Sarita Sinha,http://www.dpsdhanbad.edu.in/,Jharkhand,"School, Private School",,Sarita Sinha,1988,,,"5 crore, 4 crore",,097080 37899,"dr.kullu@gmail.com, dr.lal@gmail.com","vinayakrao18@gmail.com, vaishalibhujbal@gmail.com",dhndps@gmail.com,erpdpsdhn@gmail.com,dhnbr@yahoo.com,9708035799,9708037899,,,,,
DOON GLOBAL SCHOOL,"Near Bank colony, Indira Nagar, Road-4, Postal Park, Patna, Bihar 800001",http://doonglobalschool.org/,Bihar,Doon school,,,,,,12 lakh,,099316 01079,chadda9@gmail.com,,doonglobalschool@hotmail.com,dgsnadwan@gmail.com,hm.secy@doonschool.com,8530488345,9997073777,9997504734,,,,
DOON PUBLIC SCHOOL,"Near Bank colony, Indira Nagar, Road-4, Postal Park, Patna, Bihar 800001",http://doonglobalschool.org/,Bihar,Doon school,,,,,,11 lakh,,099316 01079,krishna15@gmail.com,,doonpublic_school@yahoo.co.in,info@doonpublicschool.in,contact@disdehradun.com,9821286692,+91-7906523070,7466002949,,,,
DPS Hostel,"Bilaspur Rd, Tifra, Bilaspur, Chhattisgarh 495223",http://www.dpsbilaspur.com/,Chhattisgarh,Boarding school,,,,,,10 lakh,,077524 20293,prominichopra@hotmail.com,,principal@dpsvasantkunj.com,neelam@dpsmathuraro,vpacad@dpsmath,manojbhandari@dpsm,vpadmin@dps,dpsnadmin@dpsgrnoida.com,,,,
DPS Warangal,"16-30/1, Warangal-Hyderabad Highway, Pedda Pendyal (V), Dharmasagar (M), Warangal (Urban), Telangana 506151",http://www.dpswarangal.in/,,School,,Mr. Anil Kashyap,2014,Central Board of Secondary Education,,,,096763 00411,dr.kalyani@gmail.com,deshmukh.phd@gmail.com,info@dpswarangal.in,contact@dpswarangal.in,friends@themeisle.com,9676300411,9676300422,9676300433,,,,
DSB International School,"76, Warden Rd, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026",http://www.dsbindia.com/,"Peddapalli, Maharashtra, Gujarat","International School, Private School, IB school",,Howard Gee,1961,,,"2 crore, 4 crore, 3 crore",,022 2362 0110,"er.mukherjee@rediff.com, varkeyajex@gmail.com, arvindakshan1975@gmail.com, er.morris@hotmail.com, sobhan17@hotmail.com","mukesh1@gmail.com, premlatakumar@gmail.com, dhananjay.phd@gmail.com, jyoti13@gmail.com, pro.gulabrao@gmail.com",admissions@dsbindia.com,principal@dsbindia.com,"eurocampus@dsbindia.com, dsbrksh@gmail.com",9412056775,dsbrksh@gmail.com,,,,,
Daffodils English School Association,"4th Main Rd, Anandanagar Layout, Raj Mahal Vilas 2nd Stage, Sanjaynagar, Bengaluru, Karnataka 560094",http://www.daffodils.school/,Bangalore,Kids School,,Mrs. Aparna Ramasheshaiah,,,,,,080 2341 8188,abhaagrawal@hotmail.com,principal.jayant@gmail.com,daffodils_school@yahoo.com,desinfo@daffodils.education,,8023418188,917415014546,917415014547,,,,
Darsana CMI International School,"Near St. Antony's Church, Poomattam, Puthuppally, Kerala 686011",http://www.darsanaschool.com/,Kerala,International School,,,,,,9 lakh,,0481 235 1999,esther18@gmail.com,,office@darsanaschool.org,mmquickerala@gmail.com,darsanacmischool@gmail.com,91-8547617621,91-8547755202,9447306089,,,,
Dayananda Sagar College of Engineering,"Shavige Malleshwara Hills, 91st Main Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",http://www.dsce.edu.in/,,School,,C.P.S Prakash,1979,Visvesvaraya Technological University (VTU),,,,080 4216 1750,l1972@rediff.com,principal.sushil@gmail.com,admissions@dayanandasagar.edu,ppl-diploma@dayanandasagar.edu,hod-me@dayanandasagar.edu,9916075170,9741882324,9741889394,,,,
"De Nobili School CTPS, chandrapura","Dugda Road, D type Colony, Chandrapura, Jharkhand 828403",http://denobilictps.in/,Jharkhand,"School, Private School, ICSE School",,George Thomas Kennedy,,,,"2.5 crore, 4 crore, 1854 crore",,06549 242 204,"cghosh@gmail.com, jacob14@yahoo.com, mathew14@gmail.com","principal.agrawal@gmail.com, bharadwaj7@gmail.com, deshmukhnishita@gmail.com",info@khelomore.com,dnsctps@gmail.com,,7631998026,7400404455,9204851560,,,,
De Paul International Residential School,"Kattappana, Kerala 685514",http://www.dpirskerala.com/,Kerala,"Schools, International School, Boarding school",,,,,,"10 lakh, 8 lakh",,081119 95671,"weale.bsc@gmail.com, stitchrobert@hotmail.com, chakraborty3@hotmail.com",,enquiries@dpirs.org,office@dpirs.org,dpirsm@yahoo.co.in,9535187506,9741343149,"8212972402, 8212972401",,,,
Delhi Public School,"287-295, Bithoor Rd, Singhpur, Kalyanpur, Kanpur, Uttar Pradesh 208017",http://www.dpskalyanpur.com/,"Uttar Pradesh, Unnao, Kanpur","Schools, School, Kids School, Private School, CBSE School, ICSE School, IB school, International School",,Archana Nigam,2002,Central Board of Secondary Education,,2 crore,,090440 55605,"deeptikamal@yahoo.com, nair10@hotmail.com, pinto.msc@gmail.com, neetu5@gmail.com, mukherjee20@yahoo.com, soumen.bsc@hotmail.com, craigdr@rediff.com, bvijayachandra@gmail.com, k1975@gmail.com, joshi.bsc@gmail.com, mrsveera@gmail.com, sunilaathley@rediff.com, smt.msc@hotmail.com, milansmt@hotmail.com, khanna1985@gmail.com","shri.bsc@gmail.com, patidar2@gmail.com, ramdas17@gmail.com, bulbule17@gmail.com, bansilal8@gmail.com, dr.babanrao@gmail.com, dr.chhabra@gmail.com, suhas.phd@gmail.com, daundkar10@gmail.com, dr.nanda@gmail.com",dpskalyanpur@superhousegroup.com,contact@dpskalyanpur.com,superhouseeducation@gmail.com,+91-9044055605,9044050622,9580362555,7290047000,,,
Delhi Public School,"Bypass Rd, Near Vivekanand Auditorium, SAIL Twp, Dhurwa, Ranchi, Jharkhand 834004",http://www.dpsranchi.com/,Jharkhand,IB school,,,17 July 1989,,,2.5 crore,,0651 645 2406,,,principaloffice@dpsguwahati.in,coordinator.dpsghostel@gmail.com,accounts.dpsghostel@gmail.com,7086055501,7086055502,7086055503,,,,
Delhi Public School,"Mathura Rd, National Zoological Park, Sundar Nagar, New Delhi, Delhi 110003",https://www.dpsmathuraroad.org/,Delhi,"School, Private School, CBSE School, ICSE School",,Deeksha Khera,1949,,,,,011 4339 9200,"dr.manoharan@rediff.com, er.shikha@gmail.com, rekha.phd@gmail.com, indirams@gmail.com, fr1987@gmail.com","mahadev12@gmail.com, waquaransari@gmail.com, dr.mukund@gmail.com, bangee14@gmail.com, prajapati.phd@gmail.com","mainoffice@dpsmathuraroad.org, principaloffice@dpsguwahati.in","principal@dpsmathuraroad.org, coordinator.dpsghostel@gmail.com","paprincipal@dpsmathuraroad.org, accounts.dpsghostel@gmail.com","vpacad@dpsmathuraroad.org, 7086055501","vpadmin@dpsmathuraroad.org, 7086055502",7086055503,,,,
Delhi Public School,"NH 31, RANCHI ROAD, CHAKRASOOLPUR, NEAR MANGLA STHAN, Bihar Sharif, Bihar",http://dpsbiharsharif.com/,Bihar,Private Schoos,,,,,,12 lakh,,062066 33658,mukherjee1@yahoo.com,,info@dpsbiharsharif.org,afsarkhan.dps@gmail.com,dps.nalanda2016@gmail.com,+91-8507668401,+91-9905350977,+91-9905358026,,,,
Delhi Public School,"Ramghat Rd, Talashpur Nagla, Talashpur, Aligarh, Uttar Pradesh 202125",http://www.dpsaligarh.org/,Uttar Pradesh,CBSE School,,,,,,4 crore,,094573 91337,,,secretary@dpsfamily.org,principaloffice@dpsguwahati.in,email@dpsudaipur.com,7086055501,7086055502,7086055503,"history@fas.harvard.edu, history@ceu.edu, history@kcl.ac.uk, hodhistory@cutn.ac.in",,,
Delhi Public School,"Sector 30, Noida, Uttar Pradesh 201303",http://www.dpsnoida.co.in/,"Uttar Pradesh, Noida, Modinagar, Kasganj, Haryana, Greater Noida, Faridabad, Delhi","School, CBSE School, Schools, Kids School, Play School, Private School, ICSE School, International School, IB school",,Mrs Kamini Bhasin,1982,Central Board of Secondary Education,,"2.5 crore, 3 crore, 11 lakh, 5 lakh",,0120 450 9100,"byju.bsc@rediff.com, frfrankie@yahoo.com, florasr@gmail.com, mistry15@gmail.com, dr.anurag@gmail.com, chadda.msc@yahoo.com, ac1968@rediff.com, shahandr@yahoo.com, rojoa19@gmail.com, deeksha.bsc@gmail.com, anuradhaamos@gmail.com, jain1990@gmail.com, anuradha8@hotmail.com, wahal.msc@yahoo.com, singh6@hotmail.com, chritopherfather@gmail.com, mohan20@gmail.com, duraipandian1990@gmail.com, tyagi4@gmail.com, anvita13@gmail.com, soumen6@gmail.com, chakraborty.bsc@hotmail.com, a1971@gmail.com, manish19@rediff.com","phd.mishra@gmail.com, principal.satish@gmail.com, more.phd@gmail.com, santu15@gmail.com","principaloffice@dpsguwahati.in, info@dpshld.in, contact@dpsbareilly.com, contact@dps.in","coordinator.dpsghostel@gmail.com, dpsdlfcity@gmail.com, contact@dps.in, dps_so@rediffmail.com","accounts.dpsghostel@gmail.com, dpsntpck@gmail, dps_so@rediffmail.com, .@dpsrkp.net","7086055501, 7253000601, +91-9956292768, 9811152077","7086055502, 9905941707, 7055446662, 9416018010","7086055503, 9905941704, 7088100160, 7086055501","9444730388, 9444265684",,,
Delhi Public School,"Sector 40C, Sector 40B, Chandigarh, 160036",http://www.dpschd.com/,"Vellore , Panchkula","DPS School, School",,Mrs. Reema Dewan,2003,Central Board of Secondary Education,,,,0172 269 0911,"lalotra2@rediff.com, vandana.bsc@gmail.com",goyal19@gmail.com,principaloffice@dpsguwahati.in,coordinator.dpsghostel@gmail.com,accounts.dpsghostel@gmail.com,7086055501,7086055502,7086055503,,,,
Delhi Public School,"Survey No. 12, Haripar Pal, behind NRI Bungalows, Rajkot, Gujarat 360005",http://dpsrajkot.org/contact_us.php,Gujarat,Board School,,,,,,10 lakh,,093740 75198,md1970@gmail.com,,principaloffice@dpsguwahati.in,coordinator.dpsghostel@gmail.com,accounts.dpsghostel@gmail.com,7086055501,7086055502,7086055503,,,,
Delhi Public School Aligarh,"Hashimpur, Uttar Pradesh 204216",http://www.dpsaligarh.org/,"Uttar Pradesh, Agra","CBSE School, IB school, School",,Neena Chaku,1998,,,2.5 crore,,080064 09335,"khanna.bsc@gmail.com, ruchi14@rediff.com, monteiro1968@gmail.com","prasadmangal@gmail.com, manish13@gmail.com, ramkrishn16@gmail.com",principal@dpsclalg.org,principal@dpshathras.org,,8006409335,8006409345,7500182182,,,,
Delhi Public School Azad Nagar,"Mainawati Marg, Azad Nagar, Khyora, near NRI City, Kanpur, Uttar Pradesh 208002",http://www.dpsazaadnagar.com/,"Uttar Pradesh, Unnao, Kanpur","Schools, Kids School, School, Play School, Private School, CBSE School",,Mrs. Rachna Mohotra,2004,"Central Board of Secondary Education, Delhi Public School Society",,,,087260 22066,"pandey19@gmail.com, kumar6@gmail.com, bvijaya.bsc@gmail.com, hajela18@hotmail.com, hajela15@gmail.com, singh.bsc@gmail.com, dr.bhawan@gmail.com, i1979@gmail.com","jeetendra.bsc@gmail.com, indrajit15@gmail.com, pro.arvind@gmail.com, ramesh18@gmail.com, kishor20@gmail.com, dr.sharadchandra@gmail.com, shripawan@gmail.com","dpsr_mohotra@rediffmail.com, dpsazaadnagar@gmail.com","dpsr.mohotra@gmail.com, info@dpsazdngr.com",dpsazaadnagar@gmail.com,"9793140022, 9889705792","8726022066, 9889705792","8726022077, 8726022066","9119498498, 9552595167",,,
Delhi Public School Patna,"Vill. Chandmari, P.S, Shahpur - Hathiyakandh Sarai Rd, Danapur Cantonment, Patna, Bihar 801502",http://www.dpspatna.com/,Bihar,"School, Private School, CBSE School, ICSE School",,Mr. B.Vinod,,,,"2 crore, 3 crore, 843 crore",,099738 11118,"dr.hazarika@yahoo.com, sharma.msc@gmail.com, frvarghesepanangatt@gmail.com, ranjith11@rediff.com","rao.phd@gmail.com, dr.laxmi@gmail.com, murarilal@gmail.com, bareth9@gmail.com",info@dpspatna.com,,,9973811118,9973311118,9771450118,,,,
Delhi Public School Rohini,"SG Marg, Phase 3, Sector-24, Rohini, Delhi, 110085",http://www.dpsrohini.com/,Delhi,School,,Vibha Singh,,,,,,011 2793 3088,beena2@gmail.com,achyut11@gmail.com,mail@dpsrohini.com,principal@dpsrohini.com,mail@dpsrohini.info,principal@dpsrohini.info,nkbpsrohini@yahoo.co.in,,,,,
"Delhi Public School, Bokaro","Sector 4, Bokaro Steel City, Jharkhand 827004",http://www.dpsbokaro.com/,Jharkhand,"School, Play School, Private School",,Awanindra Singh Gangwar,,,,"4 crore, 3 crore",,06542 233 544,"thornton1968@yahoo.com, sanjay.phd@gmail.com, samarjit.msc@gmail.com","msc.krishna@gmail.com, dr.narendra@gmail.com, principal.vandana@gmail.com",info@dpsbokaro.com,bko_dpsbsc@sancharnet.in,,9234300512,919234300512,,,,,
"Delhi Public School, Dhanbad","near Delhi public school, Lohar Kulli, Dhanbad, Jharkhand 826004",http://dpsdhanbad.edu.in/,,School,,Sarita Sinha,1988,Central Board of Secondary Education,,,,0326 220 3259,robert.bsc@gmail.com,pathak18@gmail.com,dhndps@gmail.com,erpdpsdhn@gmail.com,dhnbr@yahoo.com,9708035799,9708037899,,,,,
"Delhi Public School, Durg","Junwani Road,Nehru Nagar, Durg, Bhilai, Chhattisgarh 490020",http://www.dpsdurg.com/,Chhattisgarh,"School, Private School, ICSE School, International School",,Anupal Sagar,,,,"4 crore, 3 crore, 2.5 crore, 1/2 crore",,0788 228 7000,"panangatt5@gmail.com, n1977@gmail.com, singh7@gmail.com, sagar.bsc@gmail.com","pro.rizwan@gmail.com, pro.anchal@gmail.com, farukhkhan@gmail.com, thaware8@gmail.com",dpsdurg@gmail.com,principal@dpsdurg.com,principal@dpsdur,dpsdurg@indiatimes.com,,,,,,
"Delhi Public School, Faridabad","Mathura Rd, Sector 19, Faridabad, Haryana 121002",http://website.dpsfsis.com/,"Palwal, Faridabad","ICSE School, School, Kids School, Play School, Private School, CBSE School, IB school, International School",,Mr Anil Kumar,1995,,,,,0129 228 0522,"victorravi@yahoo.com, prasadsatya@gmail.com, drprabhu@gmail.com, er.aparna@hotmail.com, antoniasr@rediff.com, swaminathan.msc@hotmail.com, dr.caroline@rediff.com, dr.andrew@rediff.com, titusfr@gmail.com, kerketta1965@gmail.com",ruksana10@gmail.com,query@dpsgfaridabad.com,info@dpsgfaridabad.com,"info@dpsfsis.com, principal.dpsgfbd@dpsgs",+91-9999462777,+91-9999426777,9810031678,,,,
