School Name,Address,Pincode,Website,City,Category,Gender,Principal,Founded,Affiliation,Strength,Website,Fees,Revenue,Mobile/Contact Number,Principal/Heigher Mgm. Emails,Emails,Other Higher Mgm. Email,Other Email,Other Email.1,Contact number,Contact number.1,Contact number.2,Merged_Unnamed
Asian International School,"New Korola, PS Domjur, Near Dhulagarh Logistic Centre, NH 6, Dhulagori, Howrah, West Bengal 711302",711302.0,http://www.aisedu.org/,West Bengal,Private Schoos,,,,,,,,,033 2669 0097,,,principal@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,hr@aisedu,info@aisedu.org,admissions@aisedu.org,"transport@sanskritischool.edu.in, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Success Point Public School,"SK Para Ln, near UCO Bank Nibra Branch, Munshidanga, Bankra, Howrah, West Bengal 711403",711403.0,http://www.facebook.com/sppshowrah2017,West Bengal,Private Schoos,,,,,,,,,090519 84932,,,nasimul.sardar@gmail.com,spga2001@yahoo.com,info@thesucce,9051984932,9836507282,9422104992,"7042492963, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Techno India Group Public School,"Dandapanitala, Ghatmore, Manipur Road, Nabadwip, West Bengal 741302",741302.0,http://tigpublicschool.org/,West Bengal,Private Schoos,,,,,,,,,097357 70455,,,tigps.garia@gmail.com,principal.mirab@gmail.com,tigps.silliguri@gmail.com,+91-9836127900,8918901669,9864028899,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Army Public School,"North Gate, Barrackpore Cantonment, Barrackpore, Kolkata, West Bengal 700120",700120.0,https://m.facebook.com/apsbkpofficial/?locale2=en_GB,West Bengal,Private Schoos,,,,,,,,,098749 19911,,,apstrivandrum@awesindia.edu.in,apspune01@gmail.com,apsnoida@awesindia.edu.in,7347004782,9988853338,soniruby@gmail.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
DPS BURDWAN,"BUS STAND, 105, PC Mitra Ln, opposite to OLD TIN KONIA, Khosbagan, Bardhaman, West Bengal 713101",713101.0,http://www.dpsburdwan.com/,West Bengal,Private Schoos,,,,,,,,,090023 71111,,,info@dpsbdn.org,dpsbdn@yahoo.in,principal@dpsbdn.org,9332623227,8001916092,+91 - 9332623227,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St.Paul's Academy,"NH 2, Pamra, Bambattala More, Joteram, Bardhaman, West Bengal 713104",713104.0,https://www.stpaulsacademybwn.org/,West Bengal,Private Schoos,,,,,,,,,0342 324 4455,,,stpacademy@rediffmail.com,stpaulsacademyhajipur@gmail.com,spaburdwan@gmail.com,9958472707,7290093423,+91-9675964597,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Sacred Heart School,West Bengal 723121,723121.0,http://shsadra.in/,West Bengal,Private Schoos,,,,,,,,,03251 244 386,,,contactsacredheartchd@gmail.com,info@sacredheartschoolludhiana.com,info@sacredheartschool,91-9501626485,8605433000,8605533000,"919731998888, 919880801188, +91-7022415035, +91-9008839730, +91-9902090303, +91-9953364444, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Swami Vivekananda Centre For Learning,"162, Central Road, Anandapuri, Barackpore, opposite Baroda Villa, Kolkata, West Bengal 700122",700122.0,http://www.facebook.com/svclbkp,West Bengal,Private Schoos,,,,,,,,,072780 78070,,,svcollege06@gmail.com,info@sverc.org,ves@ves.ac.in,+91-7744996620,+91-7551115511,9046952758,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Akshar School,"35, Diamond Harbour Rd, Majherhat, Mominpore, Kolkata, West Bengal 700027",700027.0,http://www.aksharschool.org/,West Bengal,Private Schoos,,,,,,,,,033 2449 2810,,,info@aksharschoolrajkot.org,aksharschool@yahoo.com,akshar1998@gmail.com,9163250668,9133244928,9133244938,"8376073000, 9711004748, +91-8448897662, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kendriya Vidyalaya GC CRPF,"CRPF Rd, CRPF Group Centre, Durgapur, West Bengal 713214",713214.0,https://crpfdurgapur.kvs.ac.in/,West Bengal,Private Schoos,,,,,,,,,0343 250 3209,,,kvamerigogcrpf@kvsedu.org,kvcrpf@gmail.com,kvgccrpfsonipat@gmail.com,kvmiransahib@gmail.com,ppl.mokamghatcrpf@kvs.gov.in,ppl.agartalacrpf@kvs.gov.in,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Asian International School,"New Korola, Katlia-Nibra NH-6 Connector Rd, Andul, Alamgir, West Bengal 711302",711302.0,http://www.aisedu.org/,West Bengal,Private Schoos,,,,,,,,,033 2669 0097,,,principal@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,hr@aisedu,info@aisedu.org,admissions@aisedu.org,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Indo Kids International School,"S.N. Ghosh Avenu Road, Elachi (near select house), Narendrapur, Kolkata, West Bengal 700103",700103.0,http://www.indokids.in/,West Bengal,Kids School,,,,,,,,,096749 79729,,,info@indokids.in,internationalindokids19@gmail.com,indokidschool@gmail.com,9902666413,9674979729,7044357740,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Genius Kids,"BD 34, Sector-1, Salt Lake City, Kolkata, West Bengal 700064",700064.0,http://www.geniuskidsindia.com/,West Bengal,Kids School,,,,,,,,,099030 85642,,,geniuskidsscl@gmail.com,contact@geniuskidsacademy.in,jane@geniuskidsonline.com,9979170807,9769523570,9151615715,"9999700581, 9999700563, 9999700468, 9811247700, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Genius Kids,"D-38, Kalachand Para, Bose Para, Vivek Park, Garia, Kolkata, West Bengal 700084",700084.0,http://www.geniuskidsindia.com/,West Bengal,Kids School,,,,,,,,,099039 12042,,,geniuskidsscl@gmail.com,contact@geniuskidsacademy.in,jane@geniuskidsonline.com,9979170807,9769523570,9151615715,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
TIME Kids Preschool,"Binodini homoeo sadan, Bkp road, Noapara Road, Barasat, Kolkata, West Bengal 700125",700125.0,https://timekidspreschoolbarasat.business.site/,West Bengal,Kids School,,,,,,,,,070039 23797,,,rajakilpakkam@timekidspreschools,agslayout@timekidspreschools.com,abhishikta@timekidspreschools.com,8019764243,9789998830,7010206656,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
SISTER NIVEDITA KIDS SCHOOL,"Bhenpur, 713141, Shyamsundarpur, West Bengal 713141",713141.0,http://www.bcswngo.org/our-school/,West Bengal,Kids School,,,,,,,,,087686 77396,,,contact@snschool.com,contact@sisterniveditaschool.com,sisternivedita1898@gmail.com,8096738855,9641972885,9002105538,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Bagnan,"Plot No. 64, Ground Floor, Mouza Khalor, ND Block Road, Bagnan, West Bengal 711303",711303.0,http://www.kidzee.com/,West Bengal,Kids School,,,,,,,,,097352 21061,,,idzee3649@kidzee.com,kidzee.habra@gmail.com,rockyjais@yahoo.co.in,9735221061,919735221061,8373012132,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Little Laureates – Madhyamgram,"Basunagore, Balai Mondal Sarani, Municipality, Madhyamgram., North 24 Parganas, West Bengal 700129",700129.0,http://www.littlelaureates.com/,West Bengal,Kids School,,,,,,,,,084202 36203,,,madhyamgram@littlelaureates.com,kasba@littlelaureates.com,info@littlelaureates.com,8420236203,8420009170,+91-8420009160,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Lake town,"772, 1, Lake Town Rd, Block A, Lake Town, Kolkata, West Bengal 700089",700089.0,http://www.kidzee.com/west-bengal/kolkata/best-play-school-the-play-house-lake-town,West Bengal,Kids School,,,,,,,,,098308 42469,,,kidzee1733@kidzee.com,theplayhousekidzee14939@gmail.com,theplayhousekidzee14939@gmail.c,9674566148,9830842469,919830842469,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Rishra,"144/2, Subash Nagar, old electric office,, rishra, kolkata, West Bengal 712250",712250.0,http://www.kidzee.com/west-bengal/rishra/best-play-school-rishra,West Bengal,Kids School,,,,,,,,,096811 19724,,,subhendu.banerjee2012@gmail.com,kidzee594@kidzee.com,kidzee444@kidzee.com,8697119230,9899104337,919681119724,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Andul,"P.S, Pramila Bhavan, P. C. Roy Road Andul Station Road Duillya, Sankrail, Howrah, West Bengal 711302",711302.0,http://www.kidzee.com/,West Bengal,Kids School,,,,,,,,,033 2669 2478,,,kidzee1012@kidzee.com,idzee3631@kidzee.com,kidzee805@kidzee.com,8017708981,9831052038,9038027262,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Little Laureates – Behala Gardens,"104/1/26, Satyen Roy Rd, Indrajit Pally, Behala, Kolkata, West Bengal 700034",700034.0,http://www.littlelaureates.com/,West Bengal,Kids School,,,,,,,,,070440 26391,,,kasba@littlelaureates.com,behalagardens@littlelaureates.com,bijoygarh@littlelaureates.com,8017060316,9433415560,9007340352,"8802752000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Liluah,"E/1, 266, Grand Trunk Rd, Liluah, Howrah, West Bengal 711204",711204.0,http://www.facebook.com/KidzeeLiluah,West Bengal,Kids School,,,,,,,,,098310 31436,,,kidzee.liluah@gmail.com,idzee3419@kidzee.com,info@entranceindia.com,9831031436,919903970180,919836789497,"9999700581, +91-9999700563, 9999700468, 9999700821, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
LittleMillennium -Kankurgachi - Kolkata,"P 64/A CIT Road Scheme 6M, near VIP Market, Kolkata, West Bengal 700054",700054.0,http://www.littlemillennium.com/,West Bengal,Kids School,,,,,,,,,099033 42483,,,littlemillennium.laketown@gmail.com,sharmistha.medha@gmail.com,hazra@littlemillennium.com,7003131544,9836228486,919830304742,"919731998888, 919880801188, +91-7022415035, +91-9008839730, +91-9902090303, +91-9953364444, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Barrackpore,"SN Banerjee Rd, Kolkata, West Bengal 700120",700120.0,http://www.kidzee.com/,West Bengal,Kids School,,,,,,,,,090514 16843,,,kidzee_dunlop@yahoo.co.in,enquiry@admission24.com,hr@zeelearn.com,9432844881,9051416843,7044153181,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Kidzee Burdwan,"Kachhari Road, Near Yuva Computer Centre, Badamtala, Kalibazar, Bardhaman, West Bengal 713101",713101.0,http://www.kidzee.com/,West Bengal,Kids School,,,,,,,,,097753 01150,,,kidzee.burdwan@gmail.com,kidzee.burdwan@gmail,idzee3288@kidzee.com,9434201620,8900187070,9647857999,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Little Millennium Madhyamgram,"2 no, Debigarh 2nd Ln, Basunagar, Madhyamgram, Kolkata, West Bengal 700129",700129.0,https://little-millennium-madhyamgram.business.site/?utm_source=gmb&utm_medium=referral,West Bengal,Kids School,,,,,,,,,090512 52654,,,north.enquiry@littlemillennium.com,south.enquiry@littlemillennium.com,east.enquiry@littlemillennium.com,+91-9582598144,+91-9731322777,+91-9962556555,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
DPS KIDZ,"Alamgunj Rd, Nutanganj, Raiganj, Bardhaman, West Bengal 713101",713101.0,https://dpskidzbdn.com/,West Bengal,Kids School,,,,,,,,,081670 01271,,,info@dpskidsguntur.com,kidsdps@gmail.com,info@dpskidzbdn.com,7392940562,8167001271,9958829959,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
School,"1/C, Chatla Central Rd, Chetla, Kolkata, West Bengal 700027",700027.0,http://ssa.org.in/,West Bengal,Kids School,,,,,,,,,033 2456 9090,,,info.mrisldh@mris.edu.in,thebritishschool@british-school.org,info@generalrajschool.com,9569299090,7087215498,9322626355,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Shemrock Thakurpukur,"771, Mahatma Gandhi Rd, Greater Bakul Bithi, Thakurpukur, Kolkata, West Bengal 700063",700063.0,https://www.shemrock.com/index.php?option=branchlist&view=tobranch&branch=Thakurpukur&Itemid=760,West Bengal,Kids School,,,,,,,,,098304 76439,,,amazing-kith-n-kin@shemrock.com,thakurpukur@shemrock.com,shikshalaya@shemrock.com,919830691903,919051785943,8335852777,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Calcutta Airport English High School (H.S),"Gate, No-2, Jessore Rd, near NSCBI Airport, International Airport, Dum Dum, Kolkata, West Bengal 700052",700052.0,http://www.caehs.in/,West Bengal,Board School,,,,,,,,,033 2511 8996,,,mduttaeng4@gmail.com,swetacaehs@gmail.com,airportschoolmohuamam@yahoo.com,chowdhury.madhumita75@gmail.com,sdbengali.caehs@gmail.com,airportschool1952@gmail.com,"8802752000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Asian International School,"New Korola, PS Domjur, Near Dhulagarh Logistic Centre, NH 6, Dhulagori, Howrah, West Bengal 711302",711302.0,http://www.aisedu.org/,West Bengal,Board School,,,,,,,,,033 2669 0097,,,principal@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,hr@aisedu,info@aisedu.org,admissions@aisedu.org,"7086055506, 7086055507, 7337329964, 7673822221, 7673822220, 7088100160, 9105244622, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Narayana School,"Kamarbari Road, Behind TCS Eco Space, New Town, Rajarhat, 24 Parganas, North Kolkata, Kolkata, West Bengal 700135",700135.0,http://www.narayanaschools.in/,West Bengal,Board School,,,,,,,,,090516 89589,,,mgroad@narayanagroup.com,rajnagar@narayanagroup.com,srschowk@narayanagroup.com,+91-8744068981,8373915146,9999999999,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vision International School,"56, TN Mukerjee Rd, Charaktala, Makhla, Uttarpara, West Bengal 712245",712245.0,http://www.visioninternationalschool.org/,West Bengal,Board School,,,,,,,,,033 2664 4338,,,office@visioninternationalschool.net,inquiries@vis.qa,admissions@vis.qa,+91-9836988668,+91-9874574342,9836988668,"transport@sanskritischool.edu.in, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
St. Lawrence High School,"27, Ballygunge Circular Rd, Ballygunge, Kolkata, West Bengal 700019",700019.0,http://www.stlawrencehighschool.edu.in/,West Bengal,Board School,,,,,,,,,033 2475 1959,,,stlps@ymail.com,stlawrence@ucdsb.on.ca,principal@stlawrencehighshool.edu.in,9133247519,9133247525,+91-8888857082,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Bidya Bharti School,"Basudevpur Colony, Paschim Barisha, Kolkata, West Bengal 700008",700008.0,http://www.bidyabharatighs.in/,West Bengal,Board School,,,,,,,,,033 2396 0429,,,stmaryetw@hotmail.com,avbesociety@gmail.com,xxxx@vidyabharatischool.in,9868513274,meenakshizarabi@vidyabharatischo,bvb_nadiad@yahoo.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Mount Litera Zee School Howrah,"Panchla Kalitala Crossing, National Highway 6, Surikhali, West Bengal 711322",711322.0,http://mountliterahowrah.edu.in/,West Bengal,Board School,,,,,,,,,098743 92222,,,principal.howrah@mountlitera.com,mlzshowrah@gmail.com,principal@mountliterahowrah,9874392222,8697736766,919874392222,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Lotus Valley International School,"Plot 20A, Sector Techzone 4, Greater Noida, West, Noida, Uttar Pradesh 201306",201306.0,http://www.lotusvalleynoidaextension.com/,West Bengal,International School,,,,,,,,,092059 92385,,,principal@lotusvalleygurgaon.com,info@lotusvalleygurgaon.com,vp@lotusvalleygurgaon.com,9650544997,9910220942,8448992087,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Asian International School,"New Korola, PS Domjur, Near Dhulagarh Logistic Centre, NH 6, Dhulagori, Howrah, West Bengal 711302",711302.0,http://www.aisedu.org/,West Bengal,International School,,,,,,,,,033 2669 0097,,,principal@aisedu.org,headmistress@aisedu.org,reception@aisedu.org,hr@aisedu,info@aisedu.org,admissions@aisedu.org,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Vision International School,"56, TN Mukerjee Rd, Charaktala, Makhla, Uttarpara, West Bengal 712245",712245.0,http://www.visioninternationalschool.org/,West Bengal,International School,,,,,,,,,033 2664 4338,,,office@visioninternationalschool.net,inquiries@vis.qa,admissions@vis.qa,+91-9836988668,+91-9874574342,9836988668,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
International School Of Business & Media Kolkata,"330/2, Pujali Trunk Road, PS - Budge Bidge, Kolkata, 700138",700138.0,http://www.isbm.ac.in/,West Bengal,International School,,,,,,,,,092305 62572,,,info@isbm.ac.in,admissions.kolkata@isbm.edu,admissions.kolkata@isbmk.edu.in,9230562572,8530093456,7757029573,"mountcarmelgim@gmail.com, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
PIS International School,"Nachan Road, Kamalpur, Durgapur, 713204",713204.0,http://www.purvinternationalschool.com/,West Bengal,International School,,,,,,,,,090025 09493,,,bsspisggn@gmail.com,info@pis.edu.pk,admissions@pis.edu.pk,8448293021,8448293023,8448293024,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Tarbiyah Cambridge International School,"Baranagar Danga, Jalalpur, West Bengal 732206",732206.0,http://www.tarbiyah.co.in/,West Bengal,International School,,,,,,,,,089729 97799,,,enquiry@cisfgjal.school,principal@cisfgjal.school,careers@cisfgjal.school,8972997799,8972992288,918972997799,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
Netaji International School,"SH 5, Jhargram, West Bengal 721507",721507.0,http://www.netajiinternationalschool.in/,West Bengal,International School,,,,,,,,,094740 19363,,,nsdavps@yahoo.com,info@netajiinternationalschool.in,pillai.alan@gmail.com,9474019363,9830405138,9163921700,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan"
